"Quartier 58","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"NECKER","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","3 104","5.4","2 441","4.3","2 087","4.0","1 620","3.4","1 600","3.3","-1.2"
"Professions libérales et cadres supérieurs","3 437","5.9","3 766","6.7","4 194","8.0","5 555","11.7","6 100","12.5","9.8"
"Cadres moyens","4 417","7.6","4 723","8.4","5 085","9.7","4 555","9.6","4 640","9.5","1.9"
"Employés","7 379","12.7","7 310","13.0","6 322","12.1","5 365","11.3","6 580","13.5","22.6"
"Ouvriers","9 079","15.7","7 857","14.0","6 380","12.2","4 330","9.1","3 220","6.6","-25.6"
"Personnel de service","3 717","6.4","3 460","6.2","3 093","5.9","2 595","5.5","1 900","3.9","-26.8"
"Autres actifs (2)","878","1.5","967","1.7","735","1.4","505","1.1","620","1.3","22.8"
"ACTIFS","32 011","55.2","30 524","54.3","27 896","53.3","24 525","51.7","24 660","50.7","0.6"
"Enfants de moins de 15 ans","9 110","15.7","7 882","14.0","6 493","12.4","6 015","12.7","6 572","13.5","9.3"
"Retraités","4 095","7.1","5 124","9.1","5 939","11.4","6 655","14.0","6 628","13.6","-0.4"
"Autres sans activité professionnelle","12 728","22.0","12 643","22.5","11 991","22.9","10 260","21.6","10 760","22.1","4.9"
"INACTIFS","25 933","44.8","25 649","45.7","24 423","46.7","22 930","48.3","23 960","49.3","4.5"
"TOTAL","57 944","100.0","56 173","100.0","52 319","100.0","47 455","100.0","48 620","100.0","2.5"
