"Quartier 60","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"JAVEL","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","2 132","5.2","1 775","3.8","1 550","3.4","1 330","3.0","1 140","2.6","-14.3"
"Professions libérales et cadres supérieurs","1 585","3.9","2 720","5.9","3 436","7.5","5 160","11.5","5 480","12.4","6.2"
"Cadres moyens","2 938","7.2","3 918","8.5","4 521","9.8","5 080","11.3","5 420","12.3","6.7"
"Employés","5 382","13.1","5 793","12.5","5 310","11.6","5 940","13.2","5 780","13.1","-2.7"
"Ouvriers","8 329","20.3","7 100","15.3","5 646","12.3","4 010","8.9","2 640","6.0","-34.2"
"Personnel de service","2 213","5.4","2 283","4.9","2 154","4.7","2 080","4.6","1 920","4.3","-7.7"
"Autres actifs (2)","609","1.5","1 199","2.6","992","2.2","910","2.0","880","2.0","-3.3"
"ACTIFS","23 188","56.5","24 788","53.5","23 609","51.4","24 510","54.4","23 260","52.6","-5.1"
"Enfants de moins de 15 ans","6 868","16.7","7 794","16.8","6 821","14.9","6 150","13.6","6 036","13.7","-1.9"
"Retraités","2 544","6.2","3 676","7.9","4 473","9.7","5 610","12.5","6 048","13.7","7.8"
"Autres sans activité professionnelle","8 457","20.6","10 065","21.7","11 003","24.0","8 785","19.5","8 836","20.0","0.6"
"INACTIFS","17 869","43.5","21 535","46.5","22 297","48.6","20 545","45.6","20 920","47.4","1.8"
"TOTAL","41 057","100.0","46 323","100.0","45 906","100.0","45 055","100.0","44 180","100.0","-1.9"
