"Quartier 57","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"SAINT LAMBERT","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","4 823","5.6","3 833","4.1","3 493","3.9","2 535","2.8","2 320","2.7","-8.5"
"Professions libérales et cadres supérieurs","4 794","5.5","5 930","6.4","6 493","7.2","9 755","10.9","10 620","12.3","8.9"
"Cadres moyens","7 565","8.7","8 870","9.5","10 010","11.1","10 140","11.3","9 220","10.7","-9.1"
"Employés","12 144","14.0","12 929","13.9","12 078","13.4","12 980","14.5","13 900","16.1","7.1"
"Ouvriers","12 932","14.9","11 921","12.8","9 895","11.0","7 600","8.5","5 360","6.2","-29.5"
"Personnel de service","4 451","5.1","4 555","4.9","4 363","4.8","4 075","4.6","3 220","3.7","-21.0"
"Autres actifs (2)","1 519","1.8","1 876","2.0","1 339","1.5","1 315","1.5","1 100","1.3","-16.3"
"ACTIFS","48 228","55.6","49 914","53.7","47 671","52.9","48 400","54.0","45 740","53.0","-5.5"
"Enfants de moins de 15 ans","13 820","15.9","14 075","15.1","11 891","13.2","11 270","12.6","10 772","12.5","-4.4"
"Retraités","5 512","6.4","7 872","8.5","10 873","12.1","12 505","14.0","13 252","15.3","6.0"
"Autres sans activité professionnelle","19 217","22.1","21 045","22.7","19 616","21.8","17 385","19.4","16 596","19.2","-4.5"
"INACTIFS","38 549","44.4","42 992","46.3","42 380","47.1","41 160","46.0","40 620","47.0","-1.3"
"TOTAL","86 777","100.0","92 906","100.0","90 051","100.0","89 560","100.0","86 360","100.0","-3.6"
