"Quartier 59","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"GRENELLE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","3 208","5.6","2 516","4.5","2 213","4.1","1 745","3.6","1 800","3.8","3.2"
"Professions libérales et cadres supérieurs","2 680","4.7","3 434","6.1","4 112","7.6","6 075","12.5","6 000","12.7","-1.2"
"Cadres moyens","3 857","6.8","4 473","7.9","5 048","9.3","4 865","10.0","4 560","9.6","-6.3"
"Employés","7 234","12.7","7 146","12.7","6 128","11.3","5 825","11.9","5 400","11.4","-7.3"
"Ouvriers","10 614","18.7","8 763","15.5","6 944","12.8","4 750","9.7","3 640","7.7","-23.4"
"Personnel de service","3 742","6.6","3 560","6.3","3 241","6.0","2 475","5.1","2 520","5.3","1.8"
"Autres actifs (2)","898","1.6","1 364","2.4","979","1.8","840","1.7","660","1.4","-21.4"
"ACTIFS","32 233","56.7","31 256","55.5","28 665","52.9","26 575","54.5","24 580","51.9","-7.5"
"Enfants de moins de 15 ans","8 856","15.6","7 788","13.8","6 870","12.7","5 955","12.2","5 292","11.2","-11.1"
"Retraités","3 561","6.3","4 833","8.6","5 881","10.8","6 695","13.7","7 260","15.3","8.4"
"Autres sans activité professionnelle","12 203","21.5","12 486","22.2","12 814","23.6","9 540","19.6","10 208","21.6","7.0"
"INACTIFS","24 620","43.3","25 107","44.5","25 565","47.1","22 190","45.5","22 760","48.1","2.6"
"TOTAL","56 853","100.0","56 363","100.0","54 230","100.0","48 765","100.0","47 340","100.0","-2.9"
