"Quartier 57","1954","","1962","","1968","","1975","","1982","","1990","","1999","","","évolution en %"
"SAINT LAMBERT","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"POPULATION TOTALE","87 707","100.0","92 906","100.0","90 051","100.0","89 560","100.0","85 380","100.0","82 880","100.0","82 032","100.0","-2.9","-1.0"
"POPULATION PAR SEXE","","","","","","","","","","","","","","","",""
". Hommes","38 625","44.0","41 136","44.3","39 787","44.2","39 285","43.9","37 008","43.3","36 134","43.6","36 174","44.1","-2.4","0.1"
". Femmes","49 082","56.0","51 770","55.7","50 264","55.8","50 275","56.1","48 372","56.7","46 746","56.4","45 858","55.9","-3.4","-1.9"
"ACTIVITÉ","","","","","","","","","","","","","","","",""
". Actifs hommes","26 566","30.6","26 254","28.3","24 561","27.3","23 990","26.8","22 100","25.8","21 525","26.0","21 303","29.4","-2.6","-1.0"
". Actifs femmes","21 662","25.0","23 660","25.5","23 110","25.7","24 410","27.3","23 032","26.9","23 465","28.3","23 343","32.2","1.9","-0.5"
". Actifs total","48 228","55.6","49 914","53.7","47 671","52.9","48 400","54.0","45 132","52.7","44 990","54.3","44 646","61.6","-0.3","-0.8"
". Inactifs hommes","11 519","13.3","14 882","16.0","15 226","16.9","15 295","17.1","15 180","17.7","14 609","17.6","9 991","13.8","-3.8","-31.6"
". Inactifs femmes","27 030","31.1","28 110","30.3","27 154","30.2","25 865","28.9","25 340","29.6","23 281","28.1","17 862","24.6","-8.1","-23.3"
". Inactifs total","38 549","44.4","42 992","46.3","42 380","47.1","41 160","46.0","40 520","47.3","37 890","45.7","27 853","38.4","-6.5","-26.5"
"NATIONALITÉ","","","","","","","","","","","","","","","",""
". Français","84 504","96.3","89 005","95.8","85 176","94.6","82 775","92.4","77 556","90.8","74 956","90.4","73 900","90.1","-3.4","-1.4"
". Étrangers","3 203","3.7","3 901","4.2","4 875","5.4","6 785","7.6","7 824","9.2","7 924","9.6","8 132","9.9","1.3","2.6"
"TRANCHES D'ÂGE","","","","","","","","","","","","","","","",""
".  0 à 4  ans","4 596","5.2","4 158","4.5","3 977","4.4","4 225","4.7","3 700","4.3","3 328","4.0","3 669","4.5","-10.1","10.2"
".  5 à 14 ans","9 224","10.5","9 917","10.7","7 914","8.8","7 045","7.9","7 072","8.3","6 222","7.5","5 864","7.1","-12.0","-5.8"
". 15 à 24 ans","9 263","10.6","12 314","13.3","14 404","16.0","12 075","13.5","11 660","13.7","10 962","13.2","9 323","11.4","-6.0","-15.0"
". 25 à 34 ans","14 064","16.0","13 758","14.8","13 232","14.7","18 080","20.2","18 192","21.3","17 755","21.4","18 920","23.1","-2.4","6.6"
". 35 à 64 ans","40 529","46.2","40 700","43.8","36 127","40.1","32 525","36.3","29 884","35.0","30 145","36.4","29 983","36.6","0.9","-0.5"
". 65 à 74 ans","6 473","7.4","8 057","8.7","9 386","10.4","9 185","10.3","7 660","9.0","6 690","8.1","6 672","8.1","-12.7","-0.3"
". 75 ans et plus","2 628","3.0","4 002","4.3","5 011","5.6","6 425","7.2","7 212","8.4","7 778","9.4","7 601","9.3","7.8","-2.3"
