"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","",""
"Total :","103 253","100.0","109 728","100.0","111 407","100.0","114 345","100.0","117 568","100.0","119 957","100.0","123 195","100.0","2.0","2.7"
"TAILLE","","","","","","","","","","","","","","","",""
". 1 pièce","34 034","33.0","36 371","33.1","34 218","30.7","31 195","27.3","30 640","26.1","29 273","24.4","28 823","23.4","-4.5","-1.5"
". 2 pièces","36 190","35.0","37 588","34.3","38 035","34.1","38 545","33.7","39 216","33.4","40 623","33.9","41 205","33.4","3.6","1.4"
". 3 pièces","19 392","18.8","22 482","20.5","24 091","21.6","26 530","23.2","27 596","23.5","28 254","23.6","28 610","23.2","2.4","1.3"
". 4 pièces","11 022","10.7","8 430","7.7","9 462","8.5","11 355","9.9","12 956","11.0","14 474","12.1","15 763","12.8","11.7","8.9"
". 5 pièces et plus","","","4 857","4.4","5 601","5.0","6 720","5.9","7 160","6.1","7 333","6.1","8 794","7.1","2.4","19.9"
". Non déterminée","2 615","2.5","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","",""
". Logement ordinaire","-","","94 724","86.3","98 428","88.3","107 500","94.0","113 076","96.2","116 992","97.5","121 077","98.3","3.5","3.5"
". Chambre d'hôtel meublé","-","","11 269","10.3","8 488","7.6","3 570","3.1","1 768","1.5","736","0.6","301","0.2","-58.4","-59.1"
". Pièce indépendante louée ou prêtée","-","","3 416","3.1","4 349","3.9","3 235","2.8","2 096","1.8","2 207","1.8","1 802","1.5","5.3","-18.4"
". Construction provisoire,hab. de fortune","-","","319","0.3","142","0.1","40","0.0","52","0.0","22","0.0","15","0.0","-57.7","-31.8"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","",""
". Propriétaire","9 774","9.5","21 674","19.8","25 171","22.6","29 695","26.0","31 116","26.5","34 008","28.4","36 506","29.6","9.3","7.3"
". Locataire","93 479","90.5","79 122","72.1","75 856","68.1","74 105","64.8","76 532","65.1","76 197","63.5","78 381","63.6","-0.4","2.9"
"d'un local loué vide HLM","-","","-","","-","","-","","12 340","10.5","13 470","11.2","17 788","14.4","9.2","32.1"
"d'un local loué vide non HLM","-","","-","","-","","-","","59 288","50.4","59 131","49.3","56 336","45.7","-0.3","-4.7"
"d'un local loué meublé","-","","-","","-","","-","","4 904","4.2","3 596","3.0","4 257","3.5","-26.7","18.4"
". Logé gratuitement","-","","8 932","8.1","10 380","9.3","10 545","9.2","9 920","8.4","9 752","8.1","8 308","6.7","-1.7","-14.8"
