"7ème   arrondissement","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","5 303","5.2","4 004","4.0","3 602","4.1","2 765","3.7","2 360","3.4","-14.6"
"Professions libérales et cadres supérieurs","8 344","8.2","8 982","9.0","8 731","10.0","9 455","12.8","9 000","12.9","-4.8"
"Cadres moyens","6 508","6.4","6 845","6.9","6 674","7.7","5 715","7.7","6 060","8.7","6.0"
"Employés","11 318","11.1","10 623","10.7","8 013","9.2","6 220","8.4","5 180","7.4","-16.7"
"Ouvriers","8 465","8.3","7 311","7.4","5 902","6.8","4 230","5.7","3 380","4.8","-20.1"
"Personnel de service","11 210","11.0","10 010","10.1","8 382","9.6","5 760","7.8","4 060","5.8","-29.5"
"Autres actifs (2)","2 231","2.2","2 717","2.7","2 326","2.7","2 105","2.8","1 760","2.5","-16.4"
"ACTIFS","53 379","52.2","50 492","50.8","43 630","50.0","36 250","49.0","31 800","45.5","-12.3"
"Enfants de moins de 15 ans","16 839","16.5","14 203","14.3","10 943","12.5","9 205","12.5","8 240","11.8","-10.5"
"Retraités","5 757","5.6","7 416","7.5","8 243","9.5","8 875","12.0","9 252","13.2","4.2"
"Autres sans activité professionnelle","26 202","25.6","27 292","27.5","24 398","28.0","19 605","26.5","20 608","29.5","5.1"
"INACTIFS","48 798","47.8","48 911","49.2","43 584","50.0","37 685","51.0","38 100","54.5","1.1"
"TOTAL","102 177","100.0","99 403","100.0","87 214","100.0","73 935","100.0","69 900","100.0","-5.5"
