"7ème   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","39 390","100.0","39 609","100.0","36 923","100.0","34 690","100.0","33 688","100.0","31 977","100.0","30 200","100.0","-5.1","-5.6"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","",""
". 1 personne","12 561","31.9","14 570","36.8","15 059","40.8","16 020","46.2","17 268","51.3","16 551","51.8","16 467","54.5","-4.2","-0.5"
". 2 personnes","11 217","28.5","10 880","27.5","9 779","26.5","9 085","26.2","8 116","24.1","7 844","24.5","7 395","24.5","-3.4","-5.7"
". 3 personnes","6 737","17.1","5 960","15.0","5 273","14.3","4 530","13.1","3 716","11.0","3 327","10.4","2 865","9.5","-10.5","-13.9"
". 4 personnes","3 973","10.1","3 646","9.2","3 187","8.6","2 755","7.9","2 856","8.5","2 641","8.3","2 178","7.2","-7.5","-17.5"
". 5 personnes et plus","4 902","12.4","4 553","11.5","3 625","9.8","2 300","6.6","1 732","5.1","1 614","5.0","1 295","4.3","-6.8","-19.8"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","",""
". sans enfant","-","","-","","29 492","79.9","28 510","82.2","27 952","83.0","26 632","83.3","25 633","84.9","-4.7","-3.8"
". 1 enfant","-","","-","","4 012","10.9","3 240","9.3","3 000","8.9","2 677","8.4","2 356","7.8","-10.8","-12.0"
". 2 enfants","-","","-","","2 120","5.7","1 980","5.7","2 016","6.0","1 840","5.8","1 538","5.1","-8.7","-16.4"
". 3 enfants ou plus","-","","-","","1 299","3.5","960","2.8","720","2.1","828","2.6","673","2.2","15.0","-18.7"
"POPULATION DES MÉNAGES","101 164","","96 489","","84 450","","71 835","","65 468","","61 454","","55 533","","-6.1","-9.6"
"Taille moyenne des ménages","2.57","","2.44","","2.29","","2.07","","1.94","","1.92","","1.84","","-1.1","-4.3"
"( nombre de personnes )","","","","","","","","","","","","","","","",""
"Taille moyenne des résidences","2.80","","2.81","","2.87","","2.91","","2.93","","2.92","","2.91","","-0.3","-0.4"
"principales ( nombre de pièces )","","","","","","","","","","","","","","","",""
"Nombre de personnes par pièce","0.93","","0.87","","0.80","","0.71","","0.66","","0.66","","0.63","","-0.8","-3.9"
