"SECTEUR SECONDAIRE (2)","","15 172
16.6","11 085
11.5","10 400
11.2","7 676","8.6   
5 025","6.6","-26.2","-34.5"
"dont","Industrie","12 244
13.4","9 320
9.7","8 820
9.5","6 396","7.2   
-","","-27.5",""
"",". Industrie agro-alimentaire","-","1 270
1.3","1 220
1.3","1 216","1.4   
-","","-0.3",""
"",". Production et distribution d'énergie","-","1 125
1.2","1 164
1.2","156","0.2   
-","","-86.6",""
"",". Industrie des biens intermédiaires","-","1 845
1.9","2 152
2.3","1 712","1.9   
-","","-20.4",""
"",". Industrie des biens d'équipements","-","840
0.9","692
0.7","452","0.5   
-","","-34.7",""
"",". Industries des biens de consommations courantes","-","4 240
4.4","3 592
3.9","2 860","3.2   
-","","-20.4",""
"","Bâtiment et génie civil","2 928
3.2","1 765
1.8","1 580
1.7","1 280","1.4   
-","","-19.0",""
"dont","Industrie","-","-","-","-","4 034","5.3","",""
"","Energie","-","-","-","-","162","0.2","",""
"","Construction","-","-","-","-","829","1.1","",""
"SECTEUR TERTIAIRE","","76 108
83.1","85 235
88.5","82 808
88.8","81 716
91.4","71 016","93.2","-1.3","-13.1"
"dont","Commerce","7 572
8.3","5 775
6.0","5 224
5.6","5 820","6.5   
5 240","6.9","11.4","-10.0"
"","Transports et télécommunications","-","6 740
7.0","7 124
7.6","5 812","6.5","","-18.4",""
"","Services marchands","-","18 690
19.4","18 808
20.2","20 756","23.2","","10.4",""
"","Location et crédit bail immobilier","-","355
0.4","220
0.2","140","0.2","","-36.4",""
"","Assurances","-","350
0.4","352
0.4","480","0.5","","36.4",""
"","Organismes financiers","-","4 825
5.0","5 344
5.7","4 756","5.3","","-11.0",""
"","Services non marchands","-","48 500
50.3","45 736
49.0","43 952","49.1","","-3.9",""
"dont","Transports","-","-","-","-","1 199","1.6","",""
"","Activités immobilières","-","-","-","-","1 864","2.4","",""
"","Activités financières","-","-","-","-","5 012","6.6","",""
"","Services aux entreprises","-","-","-","-","9 541","12.5","",""
"","Services aux particuliers","-","-","-","-","8 174","10.7","",""
"","Education","-","-","-","-","7 554","9.9","",""
"","Administration","-","-","-","-","32 432","42.6","",""
"TOTAL DES EMPLOIS EXERCÉS","","91 556
100.0","96 350
100.0","93 256
100.0","89 428
100.0","76 212","100.0","-4.1","-14.8"
