"13ème   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","65 264","100.0","66 649","100.0","65 504","100.0","73 075","100.0","78 796","100.0","80 854","100.0","84 564","100.0","2.6","4.6"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","",""
". 1 personne","18 353","28.1","19 892","29.8","21 472","32.8","28 735","39.3","34 412","43.7","37 178","46.0","41 615","49.2","8.0","11.9"
". 2 personnes","21 395","32.8","21 838","32.8","20 820","31.8","22 040","30.2","22 184","28.2","22 052","27.3","22 582","26.7","-0.6","2.4"
". 3 personnes","13 263","20.3","12 397","18.6","11 679","17.8","11 335","15.5","10 956","13.9","10 426","12.9","9 761","11.5","-4.8","-6.4"
". 4 personnes","6 798","10.4","6 883","10.3","6 615","10.1","6 970","9.5","7 272","9.2","7 292","9.0","6 773","8.0","0.3","-7.1"
". 5 personnes et plus","5 455","8.4","5 639","8.5","4 918","7.5","3 995","5.5","3 972","5.0","3 906","4.8","3 833","4.5","-1.7","-1.9"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","",""
". sans enfant","-","","-","","48 689","74.3","55 915","76.5","60 864","77.2","63 979","79.1","68 173","80.6","5.1","6.6"
". 1 enfant","-","","-","","9 435","14.4","9 450","12.9","9 820","12.5","9 357","11.6","8 903","10.5","-4.7","-4.9"
". 2 enfants","-","","-","","4 770","7.3","5 520","7.6","5 740","7.3","5 378","6.7","5 316","6.3","-6.3","-1.2"
". 3 enfants ou plus","-","","-","","2 610","4.0","2 190","3.0","2 372","3.0","2 140","2.6","2 172","2.6","-9.8","1.5"
