"Quartier 50","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"GARE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","2 506","4.6","2 043","3.6","1 611","3.2","1 530","2.6","1 200","1.8","-21.6"
"Professions libérales et cadres supérieurs","968","1.8","1 374","2.4","1 545","3.1","4 100","7.0","5 000","7.4","22.0"
"Cadres moyens","2 720","5.0","3 298","5.7","3 546","7.1","5 985","10.2","6 860","10.2","14.6"
"Employés","6 585","12.1","6 941","12.1","6 189","12.3","8 415","14.4","10 580","15.7","25.7"
"Ouvriers","14 275","26.2","13 743","23.9","9 809","19.5","8 045","13.8","8 580","12.7","6.7"
"Personnel de service","2 352","4.3","2 569","4.5","2 226","4.4","2 485","4.3","2 600","3.9","4.6"
"Autres actifs (2)","629","1.2","669","1.2","608","1.2","775","1.3","600","0.9","-22.6"
"ACTIFS","30 035","55.2","30 637","53.3","25 534","50.8","31 335","53.6","35 420","52.5","13.0"
"Enfants de moins de 15 ans","10 725","19.7","11 269","19.6","8 540","17.0","9 565","16.4","12 224","18.1","27.8"
"Retraités","3 139","5.8","4 310","7.5","4 894","9.7","6 115","10.5","6 932","10.3","13.4"
"Autres sans activité professionnelle","10 501","19.3","11 226","19.5","11 303","22.5","11 435","19.6","12 844","19.1","12.3"
"INACTIFS","24 365","44.8","26 805","46.7","24 737","49.2","27 115","46.4","32 000","47.5","18.0"
"TOTAL","54 400","100.0","57 442","100.0","50 271","100.0","58 450","100.0","67 420","100.0","15.3"
