"Quartier 74","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"PONT DE FLANDRE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","745","4.8","659","4.4","529","3.8","440","2.4","800","3.6","81.8"
"Professions libérales et cadres supérieurs","206","1.3","255","1.7","260","1.9","560","3.1","840","3.8","50.0"
"Cadres moyens","683","4.4","751","5.0","842","6.0","1 250","6.9","1 940","8.7","55.2"
"Employés","1 837","11.7","1 977","13.1","1 938","13.8","2 775","15.2","3 860","17.4","39.1"
"Ouvriers","4 819","30.8","4 048","26.9","3 612","25.7","3 525","19.3","3 720","16.8","5.5"
"Personnel de service","643","4.1","697","4.6","695","4.9","885","4.9","840","3.8","-5.1"
"Autres actifs (2)","123","0.8","119","0.8","114","0.8","120","0.7","60","0.3","-50.0"
"ACTIFS","9 056","57.8","8 506","56.5","7 990","56.9","9 555","52.4","12 060","54.4","26.2"
"Enfants de moins de 15 ans","2 835","18.1","2 557","17.0","2 159","15.4","3 685","20.2","3 796","17.1","3.0"
"Retraités","830","5.3","1 109","7.4","1 379","9.8","1 980","10.9","1 844","8.3","-6.9"
"Autres sans activité professionnelle","2 941","18.8","2 895","19.2","2 513","17.9","3 015","16.5","4 480","20.2","48.6"
"INACTIFS","6 606","42.2","6 561","43.5","6 051","43.1","8 680","47.6","10 120","45.6","16.6"
"TOTAL","15 662","100.0","15 067","100.0","14 041","100.0","18 235","100.0","22 180","100.0","21.6"
