"19ème   arrondissement","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","9 606","6.2","7 818","4.9","6 341","4.3","4 615","3.2","4 680","2.9","1.4"
"Professions libérales et cadres supérieurs","3 434","2.2","4 250","2.7","4 531","3.1","7 580","5.3","9 580","5.8","26.4"
"Cadres moyens","8 117","5.3","9 554","6.0","10 805","7.3","12 680","8.8","14 600","8.9","15.1"
"Employés","18 447","12.0","21 165","13.2","19 317","13.1","21 105","14.7","23 840","14.5","13.0"
"Ouvriers","39 304","25.5","35 476","22.2","29 792","20.2","22 875","15.9","23 260","14.2","1.7"
"Personnel de service","7 167","4.6","7 132","4.5","7 125","4.8","6 605","4.6","7 900","4.8","19.6"
"Autres actifs (2)","1 562","1.0","1 714","1.1","1 486","1.0","1 380","1.0","1 420","0.9","2.9"
"ACTIFS","87 637","56.8","87 109","54.4","79 397","53.9","76 840","53.5","85 280","52.0","11.0"
"Enfants de moins de 15 ans","27 207","17.6","28 729","17.9","23 478","15.9","23 240","16.2","28 940","17.6","24.5"
"Retraités","9 189","6.0","11 689","7.3","15 228","10.3","18 455","12.8","19 940","12.2","8.0"
"Autres sans activité professionnelle","30 280","19.6","32 532","20.3","29 229","19.8","25 125","17.5","29 880","18.2","18.9"
"INACTIFS","66 676","43.2","72 950","45.6","67 935","46.1","66 820","46.5","78 760","48.0","17.9"
"TOTAL","154 313","100.0","160 059","100.0","147 332","100.0","143 660","100.0","164 040","100.0","14.2"
