"Quartier 76","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"COMBAT","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","2 970","6.6","2 389","5.1","1 903","4.6","1 230","3.4","1 260","3.3","2.4"
"Professions libérales et cadres supérieurs","1 083","2.4","1 381","3.0","1 550","3.8","2 440","6.7","3 300","8.6","35.2"
"Cadres moyens","2 431","5.4","2 932","6.3","3 048","7.4","3 240","8.9","3 480","9.1","7.4"
"Employés","5 344","11.8","6 410","13.8","5 301","12.9","5 245","14.5","4 920","12.9","-6.2"
"Ouvriers","11 009","24.4","9 549","20.5","7 528","18.3","4 730","13.0","4 500","11.8","-4.9"
"Personnel de service","2 271","5.0","2 233","4.8","2 128","5.2","1 650","4.6","1 900","5.0","15.2"
"Autres actifs (2)","487","1.1","478","1.0","416","1.0","380","1.0","420","1.1","10.5"
"ACTIFS","25 595","56.7","25 372","54.5","21 874","53.2","18 915","52.2","19 780","51.7","4.6"
"Enfants de moins de 15 ans","7 876","17.4","8 144","17.5","6 377","15.5","5 540","15.3","6 264","16.4","13.1"
"Retraités","2 959","6.6","3 699","8.0","4 828","11.8","5 195","14.3","5 512","14.4","6.1"
"Autres sans activité professionnelle","8 741","19.4","9 311","20.0","8 009","19.5","6 610","18.2","6 684","17.5","1.1"
"INACTIFS","19 576","43.3","21 154","45.5","19 214","46.8","17 345","47.8","18 460","48.3","6.4"
"TOTAL","45 171","100.0","46 526","100.0","41 088","100.0","36 260","100.0","38 240","100.0","5.5"
