"Quartier 75","","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"AMERIQUE","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","","-","","20 535","100.0","20 762","100.0","20 195","100.0","23 348","100.0","24 379","100.0","25 889","100.0","4.4","6.2"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","","",""
". 1 personne","","-","","5 604","27.3","6 429","31.0","7 795","38.6","9 276","39.7","10 403","42.7","11 767","45.5","12.1","13.1"
". 2 personnes","","-","","6 653","32.4","6 727","32.4","6 290","31.1","6 892","29.5","6 826","28.0","6 833","26.4","-1.0","0.1"
". 3 personnes","","-","","4 053","19.7","3 864","18.6","3 330","16.5","3 568","15.3","3 381","13.9","3 333","12.9","-5.2","-1.4"
". 4 personnes","","-","","2 422","11.8","2 231","10.7","1 725","8.5","2 388","10.2","2 322","9.5","2 353","9.1","-2.8","1.3"
". 5 personnes et plus","","-","","1 803","8.8","1 511","7.3","1 055","5.2","1 224","5.2","1 447","5.9","1 603","6.2","18.2","10.8"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","","",""
". sans enfant","","-","","-","","15 248","73.4","15 705","77.8","17 240","73.8","18 511","75.9","19 775","76.4","7.4","6.8"
". 1 enfant","","-","","-","","3 222","15.5","2 725","13.5","3 388","14.5","3 133","12.9","3 185","12.3","-7.5","1.7"
". 2 enfants","","-","","-","","1 598","7.7","1 240","6.1","1 928","8.3","1 805","7.4","1 896","7.3","-6.4","5.0"
". 3 enfants ou plus","","-","","-","","694","3.3","525","2.6","792","3.4","930","3.8","1 033","4.0","17.4","11.1"
"POPULATION DES MÉNAGES","","50 029","","51 309","","48 311","","43 315","","50 348","","51 852","","54 139","","3.0","4.4"
