"19ème   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","63 565","100.0","65 785","100.0","62 392","100.0","64 795","100.0","73 168","100.0","74 820","100.0","79 022","100.0","2.3","5.6"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","",""
". 1 personne","18 181","28.6","20 171","30.7","20 421","32.7","25 170","38.8","28 884","39.5","31 593","42.2","35 384","44.8","9.4","12.0"
". 2 personnes","21 358","33.6","21 437","32.6","20 066","32.2","19 560","30.2","20 972","28.7","20 541","27.5","20 426","25.8","-2.1","-0.6"
". 3 personnes","12 532","19.7","12 137","18.4","11 051","17.7","10 330","15.9","11 312","15.5","10 313","13.8","10 124","12.8","-8.8","-1.8"
". 4 personnes","6 601","10.4","6 762","10.3","6 272","10.1","5 840","9.0","7 364","10.1","7 247","9.7","7 266","9.2","-1.6","0.3"
". 5 personnes et plus","4 893","7.7","5 278","8.0","4 582","7.3","3 895","6.0","4 636","6.3","5 126","6.9","5 822","7.4","10.6","13.6"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","",""
". sans enfant","-","","-","","46 078","73.9","49 415","76.3","54 004","73.8","56 554","75.6","59 888","75.8","4.7","5.9"
". 1 enfant","-","","-","","9 350","15.0","8 770","13.5","10 376","14.2","9 559","12.8","9 467","12.0","-7.9","-1.0"
". 2 enfants","-","","-","","4 642","7.4","4 410","6.8","5 984","8.2","5 527","7.4","5 993","7.6","-7.6","8.4"
". 3 enfants ou plus","-","","-","","2 322","3.7","2 200","3.4","2 804","3.8","3 180","4.3","3 674","4.6","13.4","15.5"
