"Quartier 75","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"AMERIQUE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","3 204","6.4","2 541","4.9","2 166","4.4","1 435","3.2","1 480","2.9","3.1"
"Professions libérales et cadres supérieurs","1 464","2.9","1 816","3.5","1 890","3.9","2 890","6.5","3 160","6.2","9.3"
"Cadres moyens","3 098","6.2","3 684","7.1","4 245","8.7","4 550","10.3","4 920","9.6","8.1"
"Employés","6 088","12.1","6 773","13.1","6 462","13.2","6 675","15.1","7 260","14.2","8.8"
"Ouvriers","10 918","21.8","9 495","18.4","8 268","16.9","6 070","13.7","6 200","12.1","2.1"
"Personnel de service","2 036","4.1","2 028","3.9","2 086","4.3","1 795","4.1","2 220","4.3","23.7"
"Autres actifs (2)","528","1.1","629","1.2","613","1.3","460","1.0","420","0.8","-8.7"
"ACTIFS","27 336","54.5","26 966","52.2","25 730","52.5","23 875","54.0","25 660","50.3","7.5"
"Enfants de moins de 15 ans","9 328","18.6","9 576","18.5","7 593","15.5","6 385","14.4","9 040","17.7","41.6"
"Retraités","2 896","5.8","3 798","7.4","5 121","10.5","6 340","14.3","6 848","13.4","8.0"
"Autres sans activité professionnelle","10 566","21.1","11 328","21.9","10 558","21.5","7 600","17.2","9 492","18.6","24.9"
"INACTIFS","22 790","45.5","24 702","47.8","23 272","47.5","20 325","46.0","25 380","49.7","24.9"
"TOTAL","50 126","100.0","51 668","100.0","49 002","100.0","44 200","100.0","51 040","100.0","15.5"
