"Quartier 49","","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"SALPETRIERE","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","","-","","9 509","100.0","8 811","100.0","9 075","100.0","9 004","100.0","9 351","100.0","9 466","100.0","3.9","1.2"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","","",""
". 1 personne","","-","","3 162","33.3","3 218","36.5","3 935","43.4","4 060","45.1","4 671","50.0","5 006","52.9","15.0","7.2"
". 2 personnes","","-","","3 107","32.7","2 837","32.2","2 695","29.7","2 604","28.9","2 545","27.2","2 578","27.2","-2.3","1.3"
". 3 personnes","","-","","1 704","17.9","1 501","17.0","1 250","13.8","1 200","13.3","1 079","11.5","958","10.1","-10.1","-11.2"
". 4 personnes","","-","","907","9.5","787","8.9","735","8.1","720","8.0","735","7.9","632","6.7","2.1","-14.0"
". 5 personnes et plus","","-","","629","6.6","468","5.3","460","5.1","420","4.7","321","3.4","292","3.1","-23.6","-9.0"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","","",""
". sans enfant","","-","","-","","6 975","79.2","7 285","80.3","7 152","79.4","7 669","82.0","7 969","84.2","7.2","3.9"
". 1 enfant","","-","","-","","1 139","12.9","930","10.2","1 072","11.9","956","10.2","867","9.2","-10.8","-9.3"
". 2 enfants","","-","","-","","497","5.6","620","6.8","536","6.0","519","5.6","453","4.8","-3.2","-12.7"
". 3 enfants ou plus","","-","","-","","200","2.3","240","2.6","244","2.7","207","2.2","177","1.9","-15.2","-14.5"
