"13ème   arrondissement","","1968","","1975","","1982","","1990","","1999","","","évolution en %"
"","","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"PERSONNES EXERCANT UN EMPLOI A PARIS","","","","","","","","","","","","",""
"","Total","82 976","100.0","85 010","100.0","83 636","100.0","87 882","100.0","89 316","100.0","5.1","1.6"
"dont :","habitent à Paris","50 780","61.2","39 680","46.7","36 108","43.2","36 469","41.5","40 731","45.6","1.0","11.7"
"","-  dans l'arrondissement du lieu de travail","36 124","43.5","21 205","24.9","18 728","22.4","19 381","22.1","24 684","27.6","3.5","27.4"
"","-  dans un autre arrondissement","14 656","17.7","18 475","21.7","17 380","20.8","17 088","19.4","16 047","18.0","-1.7","-6.1"
"","habitent en banlieue  (Ile-de-France hors Paris)","31 212","37.6","42 630","50.1","43 568","52.1","46 733","53.2","44 738","50.1","7.3","-4.3"
"","-  en Petite Couronne","22 816","27.5","28 550","33.6","28 260","33.8","29 241","33.3","28 024","31.4","3.5","-4.2"
"","Hauts de Seine","5 168","6.2","6 205","7.3","6 072","7.3","6 160","7.0","6 546","7.3","1.4","6.3"
"","Seine Saint Denis","4 060","4.9","5 230","6.2","5 792","6.9","6 840","7.8","6 533","7.3","18.1","-4.5"
"","Val de Marne","13 588","16.4","17 115","20.1","16 396","19.6","16 241","18.5","14 945","16.7","-0.9","-8.0"
"","-  en Grande Couronne","8 396","10.1","14 080","16.6","15 308","18.3","17 492","19.9","16 714","18.7","14.3","-4.4"
"","habitent en province","984","1.2","2 700","3.2","3 960","4.7","4 680","5.3","3 847","4.3","18.2","-17.8"
"PERSONNES AYANT UN EMPLOI ET RESIDANT A PARIS","","","","","","","","","","","","",""
"","Total","78 980","100.0","82 170","100.0","81 548","100.0","82 487","100.0","80 660","100.0","1.2","-2.2"
"dont :","travaillent à Paris","67 064","84.9","62 985","76.7","61 052","74.9","59 297","71.9","56 215","69.7","-2.9","-5.2"
"","-  dans l'arrondissement du lieu de résidence","36 124","45.7","21 205","25.8","18 728","23.0","19 381","23.5","24 684","30.6","3.5","27.4"
"","-  dans un autre arrondissement","30 940","39.2","41 780","50.8","42 324","51.9","39 916","48.4","31 531","39.1","-5.7","-21.0"
"","travaillent en banlieue  (Ile-de-France hors Paris)","11 564","14.6","18 430","22.4","19 780","24.3","22 182","26.9","23 441","29.1","12.1","5.7"
"","-  en Petite Couronne","10 064","12.7","15 095","18.4","15 800","19.4","17 054","20.7","17 840","22.1","7.9","4.6"
"","Hauts de Seine","4 412","5.6","6 545","8.0","6 860","8.4","7 576","9.2","8 450","10.5","10.4","11.5"
"","Seine Saint Denis","1 392","1.8","2 195","2.7","2 508","3.1","3 113","3.8","2 852","3.5","24.1","-8.4"
"","Val de Marne","4 260","5.4","6 355","7.7","6 432","7.9","6 365","7.7","6 538","8.1","-1.0","2.7"
"","-  en Grande Couronne","1 500","1.9","3 335","4.1","3 980","4.9","5 128","6.2","5 601","6.9","28.8","9.2"
"","travaillent en province ou hors France métropolitaine","352","0.4","755","0.9","716","0.9","1 008","1.2","1 004","1.2","40.8","-0.4"
