"Quartier 49","1954","","1962","","1968","","1975","","1982","","1990","","1999","","","évolution en %"
"SALPETRIERE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"POPULATION TOTALE","25 215","100.0","23 712","100.0","20 477","100.0","19 515","100.0","18 732","100.0","18 707","100.0","18 246","100.0","-0.1","-2.5"
"POPULATION PAR SEXE","","","","","","","","","","","","","","","",""
". Hommes","10 664","42.3","10 522","44.4","9 490","46.3","9 115","46.7","8 924","47.6","8 776","46.9","8 547","46.8","-1.7","-2.6"
". Femmes","14 551","57.7","13 190","55.6","10 987","53.7","10 400","53.3","9 808","52.4","9 931","53.1","9 699","53.2","1.3","-2.3"
"ACTIVITÉ","","","","","","","","","","","","","","","",""
". Actifs hommes","7 426","30.1","6 723","28.4","5 838","28.5","5 360","27.5","5 136","27.3","5 221","27.9","5 020","31.2","1.7","-3.8"
". Actifs femmes","5 683","23.0","5 518","23.3","4 793","23.4","4 770","24.4","4 536","24.1","4 945","26.4","4 892","30.4","9.0","-1.1"
". Actifs total","13 109","53.1","12 241","51.6","10 631","51.9","10 130","51.9","9 672","51.4","10 166","54.3","9 912","61.7","5.1","-2.5"
". Inactifs hommes","3 227","13.1","3 799","16.0","3 652","17.8","3 755","19.2","3 860","20.5","3 555","19.0","2 459","15.3","-7.9","-30.8"
". Inactifs femmes","8 349","33.8","7 672","32.4","6 194","30.2","5 630","28.8","5 272","28.0","4 986","26.7","3 705","23.0","-5.4","-25.7"
". Inactifs total","11 576","46.9","11 471","48.4","9 846","48.1","9 385","48.1","9 132","48.6","8 541","45.7","6 164","38.3","-6.5","-27.8"
"NATIONALITÉ","","","","","","","","","","","","","","","",""
". Français","24 716","98.0","22 520","95.0","19 042","93.0","17 850","91.5","16 280","86.9","16 061","85.9","15 831","86.8","-1.3","-1.4"
". Étrangers","499","2.0","1 192","5.0","1 435","7.0","1 665","8.5","2 452","13.1","2 646","14.1","2 415","13.2","7.9","-8.7"
"TRANCHES D'ÂGE","","","","","","","","","","","","","","","",""
".  0 à 4  ans","1 327","5.3","1 064","4.5","833","4.1","850","4.4","784","4.2","765","4.1","642","3.5","-2.4","-16.1"
".  5 à 14 ans","2 490","9.9","2 412","10.2","1 707","8.3","2 010","10.3","1 820","9.7","1 620","8.7","1 528","8.4","-11.0","-5.7"
". 15 à 24 ans","2 821","11.2","3 244","13.7","3 505","17.1","3 020","15.5","2 592","13.8","2 582","13.8","2 485","13.6","-0.4","-3.8"
". 25 à 34 ans","4 126","16.4","3 507","14.8","3 013","14.7","3 525","18.1","3 928","21.0","3 651","19.5","3 674","20.1","-7.1","0.6"
". 35 à 64 ans","10 297","40.8","9 736","41.1","7 948","38.8","6 790","34.8","6 824","36.4","7 348","39.3","7 262","39.8","7.7","-1.2"
". 65 à 74 ans","2 053","8.1","1 975","8.3","2 108","10.3","2 025","10.4","1 448","7.7","1 271","6.8","1 325","7.3","-12.2","4.2"
". 75 ans et plus","1 571","6.2","1 774","7.5","1 363","6.7","1 295","6.6","1 336","7.1","1 470","7.9","1 330","7.3","10.0","-9.5"
