"Quartier 51","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"MAISON BLANCHE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","3 476","5.4","2 684","4.2","2 282","3.5","1 720","2.6","1 360","2.1","-20.9"
"Professions libérales et cadres supérieurs","1 748","2.7","2 414","3.8","3 371","5.1","6 295","9.6","6 620","10.2","5.2"
"Cadres moyens","4 015","6.2","4 663","7.3","5 761","8.8","6 530","10.0","6 120","9.5","-6.3"
"Employés","8 045","12.5","8 379","13.1","8 388","12.8","8 685","13.3","9 200","14.2","5.9"
"Ouvriers","14 565","22.7","12 102","18.9","10 466","15.9","7 750","11.9","6 620","10.2","-14.6"
"Personnel de service","3 199","5.0","2 962","4.6","3 109","4.7","2 625","4.0","3 000","4.6","14.3"
"Autres actifs (2)","802","1.2","785","1.2","665","1.0","570","0.9","1 020","1.6","78.9"
"ACTIFS","35 850","55.8","33 989","53.0","34 042","51.8","34 175","52.3","33 940","52.5","-0.7"
"Enfants de moins de 15 ans","11 881","18.5","11 660","18.2","10 787","16.4","10 515","16.1","9 368","14.5","-10.9"
"Retraités","3 991","6.2","5 358","8.4","7 139","10.9","8 275","12.7","9 016","13.9","9.0"
"Autres sans activité professionnelle","12 549","19.5","13 126","20.5","13 759","20.9","12 390","19.0","12 316","19.1","-0.6"
"INACTIFS","28 421","44.2","30 144","47.0","31 685","48.2","31 180","47.7","30 700","47.5","-1.5"
"TOTAL","64 271","100.0","64 133","100.0","65 727","100.0","65 355","100.0","64 640","100.0","-1.1"
