"Quartier 49","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"SALPETRIERE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","1 094","4.4","892","3.8","714","3.5","600","3.1","440","2.2","-26.7"
"Professions libérales et cadres supérieurs","761","3.1","880","3.7","981","4.8","1 270","6.5","1 640","8.3","29.1"
"Cadres moyens","1 740","7.0","1 791","7.6","1 797","8.8","1 760","9.0","1 860","9.5","5.7"
"Employés","3 131","12.7","2 967","12.5","2 607","12.7","2 755","14.1","2 720","13.8","-1.3"
"Ouvriers","4 568","18.5","3 989","16.8","3 154","15.4","2 495","12.8","2 160","11.0","-13.4"
"Personnel de service","1 465","5.9","1 402","5.9","1 135","5.5","1 065","5.5","1 040","5.3","-2.3"
"Autres actifs (2)","350","1.4","320","1.3","243","1.2","185","0.9","260","1.3","40.5"
"ACTIFS","13 109","53.1","12 241","51.6","10 631","51.9","10 130","51.9","10 120","51.5","-0.1"
"Enfants de moins de 15 ans","3 817","15.5","3 476","14.7","2 540","12.4","2 860","14.7","2 604","13.2","-9.0"
"Retraités","2 776","11.2","2 161","9.1","2 838","13.9","2 835","14.5","2 760","14.0","-2.6"
"Autres sans activité professionnelle","4 983","20.2","5 834","24.6","4 468","21.8","3 690","18.9","4 176","21.2","13.2"
"INACTIFS","11 576","46.9","11 471","48.4","9 846","48.1","9 385","48.1","9 540","48.5","1.7"
"TOTAL","24 685","100.0","23 712","100.0","20 477","100.0","19 515","100.0","19 660","100.0","0.7"
