"Quartier 3","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"PALAIS ROYAL","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"PARC DE LOGEMENTS","","","","","","","","","","","","","","","",""
"Total :","3 279","100.0","3 160","100.0","2 961","100.0","2 700","100.0","2 412","100.0","2 529","100.0","2 535","100.0","4.9","0.2"
"Résidences principales","-","","3 091","97.8","2 801","94.6","2 455","90.9","2 112","87.6","1 782","70.5","1 849","72.9","-15.6","3.8"
"Logements vacants (1)","-","","19","0.6","33","1.1","120","4.4","128","5.3","361","14.3","295","11.6","182.0","-18.3"
"Résidences secondaires","-","","50","1.6","127","4.3","125","4.6","172","7.1","83","3.3","193","7.6","-51.7","132.5"
"Logements occasionnels (2)","-","","-","","-","","-","","-","","303","12.0","198","7.8","","-34.7"
"Autres","-","","-","","-","","-","","-","","-","","-","","",""
"RÉSIDENCES PRINCIPALES","-","","3 091","100.0","2 801","100.0","2 455","100.0","2 112","100.0","1 782","100.0","1 849","100.0","-15.6","3.8"
"EPOQUE D'ACHEVEMENT","","","","","","","","","","","","","","","",""
". Avant 1915","0","","2 991","96.8","2 734","97.6","2 220","90.4","2 064","97.7","1 758","98.7","1 777","96.1","-14.8","1.1"
". 1915 à 1948","0","","74","2.4","65","2.3","170","6.9","40","1.9","13","0.7","39","2.1","-67.5","200.0"
". 1949 à 1981","0","","26","0.8","2","0.1","65","2.6","8","0.4","10","0.6","11","0.6","25.0","10.0"
". 1982 à 1989","-","","-","","-","","-","","-","","1","0.1","0","0.0","","-100.0"
". 1990 à 1999","-","","-","","-","","-","","-","","-","","22","1.2","",""
". Non déterminée","0","","-","","-","","-","","-","","-","","-","","",""
"CONFORT","","","","","","","","","","","","","","","",""
". ni WC ni douche","-","","-","","-","","-","","324","15.3","183","10.3","71","3.8","-43.5","-61.2"
". sans WC ou sans douche","-","","-","","-","","-","","384","18.2","182","10.2","142","7.7","-52.6","-22.0"
"Total sans confort","-","","-","","-","","-","","708","33.5","365","20.5","213","11.5","-48.4","-41.6"
". WC et douche, sans chauffage central","-","","-","","-","","-","","488","23.1","288","16.2","137","7.4","-41.0","-52.4"
". WC et douche, avec chauffage central","-","","-","","-","","-","","916","43.4","1 129","63.4","1 499","81.1","23.3","32.8"
"Total confort","-","","-","","-","","-","","1 404","66.5","1 417","79.5","1 636","88.5","0.9","15.5"
"Avec WC intérieurs","1 498","","1 429","46.2","1 420","50.7","1 485","60.5","1 520","72.0","1 477","82.9","1 663","89.9","-2.8","12.6"
"Avec baignoire ou douche","815","","1 128","36.5","1 299","46.4","1 565","63.7","1 672","79.2","1 539","86.4","1 751","94.7","-8.0","13.8"
