"Quartier 70","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"CLIGNANCOURT","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","7 266","7.0","5 578","5.6","4 687","5.1","3 335","4.2","2 600","3.7","-22.0"
"Professions libérales et cadres supérieurs","2 906","2.8","3 213","3.2","2 878","3.1","3 850","4.8","4 160","6.0","8.1"
"Cadres moyens","6 739","6.5","7 215","7.2","7 430","8.1","6 805","8.5","6 280","9.0","-7.7"
"Employés","14 415","13.9","14 465","14.5","13 358","14.6","11 720","14.6","9 080","13.0","-22.5"
"Ouvriers","18 937","18.3","17 390","17.4","14 439","15.8","12 170","15.1","9 340","13.4","-23.3"
"Personnel de service","6 641","6.4","6 117","6.1","5 928","6.5","4 850","6.0","3 760","5.4","-22.5"
"Autres actifs (2)","1 844","1.8","1 955","2.0","1 530","1.7","1 400","1.7","1 020","1.5","-27.1"
"ACTIFS","58 748","56.6","55 933","55.9","50 250","55.0","44 130","54.9","36 240","52.1","-17.9"
"Enfants de moins de 15 ans","15 277","14.7","13 925","13.9","11 574","12.7","10 045","12.5","8 328","12.0","-17.1"
"Retraités","8 312","8.0","10 184","10.2","12 126","13.3","13 555","16.9","12 572","18.1","-7.3"
"Autres sans activité professionnelle","21 371","20.6","19 930","19.9","17 472","19.1","12 605","15.7","12 460","17.9","-1.2"
"INACTIFS","44 960","43.4","44 039","44.1","41 172","45.0","36 205","45.1","33 360","47.9","-7.9"
"TOTAL","103 708","100.0","99 972","100.0","91 422","100.0","80 335","100.0","69 600","100.0","-13.4"
