"Quartier 69","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"GRANDES CARRIERES","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"PARC DE LOGEMENTS","","","","","","","","","","","","","","","",""
"Total :","43 421","100.0","44 352","100.0","43 650","100.0","43 815","100.0","46 048","100.0","45 685","100.0","45 381","100.0","-0.8","-0.7"
"Résidences principales","-","","42 914","96.8","41 213","94.4","39 375","89.9","37 732","81.9","38 361","84.0","38 165","84.1","1.7","-0.5"
"Logements vacants (1)","-","","827","1.9","1 293","3.0","3 040","6.9","6 356","13.8","4 436","9.7","5 232","11.5","-30.2","17.9"
"Résidences secondaires","-","","611","1.4","1 144","2.6","1 400","3.2","1 960","4.3","657","1.4","915","2.0","-66.5","39.3"
"Logements occasionnels (2)","-","","-","","-","","-","","-","","2 231","4.9","1 069","2.4","","-52.1"
"Autres","-","","-","","-","","-","","-","","-","","-","","",""
"RÉSIDENCES PRINCIPALES","-","","42 914","100.0","41 213","100.0","39 375","100.0","37 732","100.0","38 361","100.0","38 165","100.0","1.7","-0.5"
"EPOQUE D'ACHEVEMENT","","","","","","","","","","","","","","","",""
". Avant 1915","0","","31 179","72.7","28 491","69.1","22 080","56.1","18 408","48.8","20 140","52.5","18 805","49.3","9.4","-6.6"
". 1915 à 1948","0","","10 307","24.0","10 355","25.1","11 685","29.7","12 132","32.2","10 156","26.5","10 556","27.7","-16.3","3.9"
". 1949 à 1981","0","","1 428","3.3","2 367","5.7","5 610","14.2","7 192","19.1","7 255","18.9","6 880","18.0","0.9","-5.2"
". 1982 à 1989","-","","-","","-","","-","","-","","810","2.1","641","1.7","","-20.9"
". 1990 à 1999","-","","-","","-","","-","","-","","-","","1 283","3.4","",""
". Non déterminée","0","","-","","-","","-","","-","","-","","-","","",""
"CONFORT","","","","","","","","","","","","","","","",""
". ni WC ni douche","-","","-","","-","","-","","4 628","12.3","2 587","6.7","1 030","2.7","-44.1","-60.2"
". sans WC ou sans douche","-","","-","","-","","-","","8 000","21.2","4 342","11.3","2 469","6.5","-45.7","-43.1"
"Total sans confort","-","","-","","-","","-","","12 628","33.5","6 929","18.1","3 499","9.2","-45.1","-49.5"
". WC et douche, sans chauffage central","-","","-","","-","","-","","8 288","22.0","6 517","17.0","2 854","7.5","-21.4","-56.2"
". WC et douche, avec chauffage central","-","","-","","-","","-","","16 816","44.6","24 915","64.9","31 812","83.4","48.2","27.7"
"Total confort","-","","-","","-","","-","","25 104","66.5","31 432","81.9","34 666","90.8","25.2","10.3"
"Avec WC intérieurs","24 952","","25 741","60.0","26 537","64.4","29 765","75.6","30 284","80.3","34 062","88.8","35 570","93.2","12.5","4.4"
"Avec baignoire ou douche","7 246","","11 991","27.9","16 758","40.7","23 775","60.4","27 936","74.0","33 144","86.4","36 231","94.9","18.6","9.3"
