"Quartier 71","","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"GOUTTE D'OR","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","","-","","17 355","100.0","16 943","100.0","15 610","100.0","14 076","100.0","13 239","100.0","13 606","100.0","-5.9","2.8"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","","",""
". 1 personne","","-","","6 500","37.5","6 527","38.5","6 975","44.7","6 472","46.0","6 049","45.7","6 835","50.2","-6.5","13.0"
". 2 personnes","","-","","5 697","32.8","5 484","32.4","4 530","29.0","3 840","27.3","3 524","26.6","3 198","23.5","-8.2","-9.3"
". 3 personnes","","-","","2 784","16.0","2 731","16.1","2 310","14.8","1 828","13.0","1 689","12.8","1 525","11.2","-7.6","-9.7"
". 4 personnes","","-","","1 412","8.1","1 349","8.0","1 145","7.3","1 212","8.6","1 033","7.8","994","7.3","-14.8","-3.8"
". 5 personnes et plus","","-","","962","5.5","852","5.0","650","4.2","724","5.1","944","7.1","1 054","7.7","30.4","11.7"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","","",""
". sans enfant","","-","","-","","13 239","78.1","12 580","80.6","11 072","78.7","10 295","77.8","10 575","77.7","-7.0","2.7"
". 1 enfant","","-","","-","","2 281","13.5","1 750","11.2","1 504","10.7","1 442","10.9","1 413","10.4","-4.1","-2.0"
". 2 enfants","","-","","-","","996","5.9","870","5.6","1 028","7.3","806","6.1","880","6.5","-21.6","9.2"
". 3 enfants ou plus","","-","","-","","427","2.5","410","2.6","472","3.4","696","5.3","738","5.4","47.5","6.0"
