"Quartier 70","","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"CLIGNANCOURT","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","","-","","46 619","100.0","44 806","100.0","41 705","100.0","37 644","100.0","37 310","100.0","37 063","100.0","-0.9","-0.7"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","","",""
". 1 personne","","-","","17 096","36.7","17 951","40.1","18 840","45.2","18 836","50.0","19 729","52.9","21 267","57.4","4.7","7.8"
". 2 personnes","","-","","16 148","34.6","14 915","33.3","13 535","32.5","11 420","30.3","10 446","28.0","9 389","25.3","-8.5","-10.1"
". 3 personnes","","-","","7 534","16.2","6 903","15.4","5 435","13.0","4 240","11.3","3 828","10.3","3 414","9.2","-9.7","-10.8"
". 4 personnes","","-","","3 713","8.0","3 266","7.3","2 635","6.3","2 224","5.9","2 210","5.9","1 946","5.3","-0.6","-11.9"
". 5 personnes et plus","","-","","2 128","4.6","1 771","4.0","1 260","3.0","924","2.5","1 097","2.9","1 047","2.8","18.7","-4.6"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","","",""
". sans enfant","","-","","-","","36 069","80.5","34 505","82.7","31 660","84.1","31 284","83.8","31 365","84.6","-1.2","0.3"
". 1 enfant","","-","","-","","5 525","12.3","4 430","10.6","3 592","9.5","3 520","9.4","3 389","9.1","-2.0","-3.7"
". 2 enfants","","-","","-","","2 313","5.2","2 060","4.9","1 788","4.7","1 722","4.6","1 638","4.4","-3.7","-4.9"
". 3 enfants ou plus","","-","","-","","899","2.0","710","1.7","604","1.6","784","2.1","671","1.8","29.8","-14.4"
"POPULATION DES MÉNAGES","","103 040","","98 762","","90 803","","79 805","","68 344","","67 156","","63 917","","-1.7","-4.8"
"Taille moyenne des ménages","","0.00","","2.12","","2.03","","1.91","","1.82","","1.80","","1.72","","-0.9","-4.2"
"( nombre de personnes )","","","","","","","","","","","","","","","","",""
