"Quartier 69","","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"GRANDES CARRIERES","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","","-","","42 914","100.0","41 691","100.0","39 375","100.0","37 732","100.0","38 361","100.0","38 165","100.0","1.7","-0.5"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","","",""
". 1 personne","","-","","15 360","35.8","16 563","39.7","18 060","45.9","18 804","49.8","20 420","53.2","21 547","56.5","8.6","5.5"
". 2 personnes","","-","","14 521","33.8","13 469","32.3","12 245","31.1","11 160","29.6","10 531","27.5","9 653","25.3","-5.6","-8.3"
". 3 personnes","","-","","6 849","16.0","6 297","15.1","5 175","13.1","4 444","11.8","3 951","10.3","3 730","9.8","-11.1","-5.6"
". 4 personnes","","-","","3 521","8.2","3 307","7.9","2 600","6.6","2 404","6.4","2 293","6.0","2 194","5.7","-4.6","-4.3"
". 5 personnes et plus","","-","","2 663","6.2","2 055","4.9","1 295","3.3","920","2.4","1 166","3.0","1 041","2.7","26.7","-10.7"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","","",""
". sans enfant","","-","","-","","33 237","79.7","32 425","82.3","31 596","83.7","32 225","84.0","32 168","84.3","2.0","-0.2"
". 1 enfant","","-","","-","","5 219","12.5","4 270","10.8","3 780","10.0","3 580","9.3","3 538","9.3","-5.3","-1.2"
". 2 enfants","","-","","-","","2 276","5.5","1 950","5.0","1 800","4.8","1 803","4.7","1 809","4.7","0.2","0.3"
". 3 enfants ou plus","","-","","-","","959","2.3","730","1.9","556","1.5","753","2.0","650","1.7","35.4","-13.7"
"POPULATION DES MÉNAGES","","97 757","","94 318","","86 449","","75 730","","69 132","","69 042","","66 626","","-0.1","-3.5"
"Taille moyenne des ménages","","0.00","","2.20","","2.07","","1.92","","1.83","","1.80","","1.75","","-1.8","-3.0"
"( nombre de personnes )","","","","","","","","","","","","","","","","",""
