"18ème   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","118 050","100.0","116 589","100.0","113 018","100.0","106 115","100.0","98 680","100.0","99 049","100.0","99 689","100.0","0.4","0.6"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","",""
". 1 personne","38 880","32.9","41 925","36.0","44 303","39.2","47 650","44.9","47 948","48.6","50 549","51.0","54 487","54.7","5.4","7.8"
". 2 personnes","41 667","35.3","39 614","34.0","37 022","32.8","33 145","31.2","29 072","29.5","27 292","27.6","24 962","25.0","-6.1","-8.5"
". 3 personnes","20 590","17.4","18 914","16.2","17 572","15.5","14 370","13.5","11 848","12.0","10 918","11.0","10 116","10.1","-7.8","-7.3"
". 4 personnes","10 102","8.6","9 615","8.2","8 838","7.8","7 215","6.8","6 612","6.7","6 404","6.5","6 082","6.1","-3.1","-5.0"
". 5 personnes et plus","6 811","5.8","6 521","5.6","5 283","4.7","3 735","3.5","3 200","3.2","3 886","3.9","4 042","4.1","21.4","4.0"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","",""
". sans enfant","-","","-","","89 747","79.4","86 820","81.8","81 356","82.4","81 563","82.3","82 072","82.3","0.3","0.6"
". 1 enfant","-","","-","","14 423","12.8","11 610","10.9","10 088","10.2","9 797","9.9","9 748","9.8","-2.9","-0.5"
". 2 enfants","-","","-","","6 252","5.5","5 590","5.3","5 232","5.3","5 008","5.1","5 216","5.2","-4.3","4.2"
". 3 enfants ou plus","-","","-","","2 596","2.3","2 095","2.0","2 004","2.0","2 681","2.7","2 653","2.7","33.8","-1.0"
