"Quartier 13","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"SAINT MERRI","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","1 520","10.3","1 066","7.6","854","7.0","535","6.2","180","2.5","-66.4"
"Professions libérales et cadres supérieurs","352","2.4","380","2.7","387","3.2","570","6.6","740","10.5","29.8"
"Cadres moyens","728","4.9","711","5.0","719","5.9","675","7.8","640","9.1","-5.2"
"Employés","1 890","12.8","1 918","13.6","1 544","12.7","1 185","13.7","760","10.8","-35.9"
"Ouvriers","2 906","19.7","2 722","19.3","2 346","19.2","1 180","13.6","820","11.6","-30.5"
"Personnel de service","1 138","7.7","1 070","7.6","855","7.0","530","6.1","400","5.7","-24.5"
"Autres actifs (2)","136","0.9","175","1.2","141","1.2","130","1.5","220","3.1","69.2"
"ACTIFS","8 670","58.8","8 042","57.1","6 846","56.1","4 805","55.5","3 760","53.3","-21.7"
"Enfants de moins de 15 ans","2 341","15.9","2 186","15.5","1 731","14.2","985","11.4","692","9.8","-29.7"
"Retraités","867","5.9","1 157","8.2","1 348","11.1","1 270","14.7","1 068","15.1","-15.9"
"Autres sans activité professionnelle","2 866","19.4","2 710","19.2","2 274","18.6","1 590","18.4","1 540","21.8","-3.1"
"INACTIFS","6 074","41.2","6 053","42.9","5 353","43.9","3 845","44.5","3 300","46.7","-14.2"
"TOTAL","14 744","100.0","14 095","100.0","12 199","100.0","8 650","100.0","7 060","100.0","-18.4"
