"4ème   arrondissement","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","5 345","8.1","3 811","6.2","2 994","5.5","1 940","4.7","1 340","3.9","-30.9"
"Professions libérales et cadres supérieurs","2 124","3.2","2 364","3.8","2 534","4.7","3 360","8.2","4 260","12.3","26.8"
"Cadres moyens","3 397","5.1","3 442","5.6","3 578","6.6","3 375","8.2","3 120","9.0","-7.6"
"Employés","8 214","12.4","8 020","13.0","6 443","11.9","4 705","11.5","3 320","9.6","-29.4"
"Ouvriers","12 434","18.8","10 664","17.2","8 534","15.8","4 640","11.3","2 580","7.4","-44.4"
"Personnel de service","4 730","7.1","4 251","6.9","3 616","6.7","2 400","5.9","1 640","4.7","-31.7"
"Autres actifs (2)","1 269","1.9","1 401","2.3","1 252","2.3","1 255","3.1","1 100","3.2","-12.4"
"ACTIFS","37 513","56.7","33 953","54.9","28 951","53.6","21 675","52.9","17 360","50.1","-19.9"
"Enfants de moins de 15 ans","11 103","16.8","9 892","16.0","7 665","14.2","5 015","12.2","3 800","11.0","-24.2"
"Retraités","3 892","5.9","5 118","8.3","6 040","11.2","5 965","14.6","5 840","16.9","-2.1"
"Autres sans activité professionnelle","13 698","20.7","12 878","20.8","11 327","21.0","8 340","20.3","7 640","22.1","-8.4"
"INACTIFS","28 693","43.3","27 888","45.1","25 032","46.4","19 320","47.1","17 280","49.9","-10.6"
"TOTAL","66 206","100.0","61 841","100.0","53 983","100.0","40 995","100.0","34 640","100.0","-15.5"
