"Quartier 15","","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"ARSENAL","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","","-","","6 758","100.0","6 528","100.0","5 845","100.0","5 256","100.0","5 070","100.0","5 221","100.0","-3.5","3.0"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","","",""
". 1 personne","","-","","2 318","34.3","2 443","37.4","2 555","43.7","2 584","49.2","2 496","49.2","2 901","55.6","-3.4","16.2"
". 2 personnes","","-","","2 033","30.1","1 909","29.2","1 675","28.7","1 476","28.1","1 352","26.7","1 314","25.2","-8.4","-2.8"
". 3 personnes","","-","","1 178","17.4","1 015","15.5","755","12.9","608","11.6","599","11.8","487","9.3","-1.5","-18.7"
". 4 personnes","","-","","670","9.9","648","9.9","545","9.3","416","7.9","437","8.6","348","6.7","5.0","-20.4"
". 5 personnes et plus","","-","","559","8.3","513","7.9","315","5.4","172","3.3","186","3.7","171","3.3","8.1","-8.1"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","","",""
". sans enfant","","-","","-","","4 940","75.7","4 675","80.0","4 376","83.3","4 195","82.7","4 426","84.8","-4.1","5.5"
". 1 enfant","","-","","-","","867","13.3","630","10.8","452","8.6","467","9.2","460","8.8","3.3","-1.5"
". 2 enfants","","-","","-","","462","7.1","385","6.6","332","6.3","305","6.0","249","4.8","-8.1","-18.4"
". 3 enfants ou plus","","-","","-","","259","4.0","155","2.7","96","1.8","103","2.0","86","1.6","7.3","-16.5"
"POPULATION DES MÉNAGES","","16 559","","15 880","","14 828","","12 145","","9 936","","9 728","","9 302","","-2.1","-4.4"
"Taille moyenne des ménages","","0.00","","2.35","","2.27","","2.08","","1.89","","1.92","","1.78","","1.5","-7.1"
"( nombre de personnes )","","","","","","","","","","","","","","","","",""
"Taille moyenne des résidences","","2.30","","2.31","","2.39","","2.52","","2.53","","2.64","","2.61","","4.4","-1.0"
"principales ( nombre de pièces )","","","","","","","","","","","","","","","","",""
"Nombre de personnes par pièce","","1.02","","1.02","","0.95","","0.82","","0.75","","0.73","","0.68","","-2.8","-6.3"
