"Quartier 14","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"SAINT GERVAIS","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","1 992","8.1","1 431","6.2","1 031","5.2","625","4.5","420","3.4","-32.8"
"Professions libérales et cadres supérieurs","555","2.2","635","2.7","637","3.2","880","6.3","1 140","9.2","29.5"
"Cadres moyens","1 130","4.6","1 206","5.2","1 200","6.1","1 215","8.7","1 280","10.4","5.3"
"Employés","3 057","12.4","3 013","13.0","2 460","12.5","1 615","11.5","1 340","10.9","-17.0"
"Ouvriers","5 520","22.3","4 714","20.3","3 656","18.6","1 875","13.4","980","7.9","-47.7"
"Personnel de service","1 569","6.4","1 389","6.0","1 246","6.3","785","5.6","660","5.3","-15.9"
"Autres actifs (2)","371","1.5","408","1.8","448","2.3","425","3.0","420","3.4","-1.2"
"ACTIFS","14 194","57.5","12 796","55.2","10 678","54.2","7 420","53.0","6 240","50.6","-15.9"
"Enfants de moins de 15 ans","4 330","17.5","3 961","17.1","2 821","14.3","1 690","12.1","1 360","11.0","-19.5"
"Retraités","1 395","5.6","1 906","8.2","2 211","11.2","2 105","15.0","2 260","18.3","7.4"
"Autres sans activité professionnelle","4 781","19.4","4 516","19.5","3 990","20.3","2 795","20.0","2 480","20.1","-11.3"
"INACTIFS","10 506","42.5","10 383","44.8","9 022","45.8","6 590","47.0","6 100","49.4","-7.4"
"TOTAL","24 700","100.0","23 179","100.0","19 700","100.0","14 010","100.0","12 340","100.0","-11.9"
