"SECTEUR SECONDAIRE (2)","","11 104
16.5","6 935
12.7","4 832
9.0","4 456","8.5   
2 845","6.5","-7.8","-36.2"
"dont","Industrie","8 720
13.0","5 655
10.3","3 988
7.4","3 520","6.7   
-","","-11.7",""
"",". Industrie agro-alimentaire","-","275
0.5","244
0.5","272","0.5   
-","","11.5",""
"",". Production et distribution d'énergie","-","35
0.1","60
0.1","76","0.1   
-","","26.7",""
"",". Industrie des biens intermédiaires","-","1 035
1.9","604
1.1","476","0.9   
-","","-21.2",""
"",". Industrie des biens d'équipements","-","570
1.0","248
0.5","244","0.5   
-","","-1.6",""
"",". Industries des biens de consommations courantes","-","3 740
6.8","2 832
5.2","2 452","4.7   
-","","-13.4",""
"","Bâtiment et génie civil","2 384
3.5","1 280
2.3","844
1.6","936","1.8   
-","","10.9",""
"dont","Industrie","-","-","-","-","2 143","4.9","",""
"","Energie","-","-","-","-","29","0.1","",""
"","Construction","-","-","-","-","673","1.5","",""
"SECTEUR TERTIAIRE","","56 212
83.5","47 820
87.3","49 128
91.0","47 954
91.5","41 094","93.5","-2.4","-14.3"
"dont","Commerce","9 528
14.2","7 575
13.8","6 496
12.0","6 252","11.9   
5 712","13.0","-3.8","-8.6"
"","Transports et télécommunications","-","1 965
3.6","1 812
3.4","1 898","3.6","","4.7",""
"","Services marchands","-","7 935
14.5","9 412
17.4","12 784","24.4","","35.8",""
"","Location et crédit bail immobilier","-","520
0.9","680
1.3","160","0.3","","-76.5",""
"","Assurances","-","210
0.4","148
0.3","216","0.4","","45.9",""
"","Organismes financiers","-","655
1.2","824
1.5","1 180","2.3","","43.2",""
"","Services non marchands","-","28 960
52.9","29 756
55.1","25 464","48.6","","-14.4",""
"dont","Transports","-","-","-","-","1 094","2.5","",""
"","Activités immobilières","-","-","-","-","901","2.0","",""
"","Activités financières","-","-","-","-","1 022","2.3","",""
"","Services aux entreprises","-","-","-","-","4 157","9.5","",""
"","Services aux particuliers","-","-","-","-","6 062","13.8","",""
"","Education","-","-","-","-","8 571","19.5","",""
"","Administration","-","-","-","-","13 575","30.9","",""
"TOTAL DES EMPLOIS EXERCÉS","","67 332
100.0","54 770
100.0","53 968
100.0","52 426
100.0","43 955","100.0","-2.9","-16.2"
