"Quartier 16","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"NOTRE DAME","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","661","6.7","445","5.3","391","5.6","250","4.2","380","7.7","52.0"
"Professions libérales et cadres supérieurs","476","4.8","568","6.7","649","9.3","735","12.3","760","15.4","3.4"
"Cadres moyens","600","6.0","545","6.4","616","8.8","495","8.3","480","9.7","-3.0"
"Employés","1 249","12.6","1 056","12.5","693","9.9","540","9.0","300","6.1","-44.4"
"Ouvriers","1 491","15.0","1 010","11.9","629","9.0","345","5.8","260","5.3","-24.6"
"Personnel de service","845","8.5","765","9.0","617","8.8","430","7.2","260","5.3","-39.5"
"Autres actifs (2)","190","1.9","234","2.8","189","2.7","230","3.8","160","3.2","-30.4"
"ACTIFS","5 512","55.5","4 623","54.6","3 784","54.2","3 025","50.6","2 600","52.6","-14.0"
"Enfants de moins de 15 ans","1 641","16.5","1 159","13.7","774","11.1","615","10.3","468","9.5","-23.9"
"Retraités","596","6.0","693","8.2","827","11.8","920","15.4","820","16.6","-10.9"
"Autres sans activité professionnelle","2 174","21.9","1 986","23.5","1 602","22.9","1 420","23.7","1 052","21.3","-25.9"
"INACTIFS","4 411","44.5","3 838","45.4","3 203","45.8","2 955","49.4","2 340","47.4","-20.8"
"TOTAL","9 923","100.0","8 461","100.0","6 987","100.0","5 980","100.0","4 940","100.0","-17.4"
