"SECTEUR SECONDAIRE (2)","","15 004
17.7","11 460
14.0","9 884
12.1","8 288
10.5","4 109","6.5","-16.1","-50.4"
"dont","Industrie","13 288
15.7","9 900
12.1","8 888
10.9","7 060","9.0   
-","","-20.6",""
"",". Industrie agro-alimentaire","-","700
0.9","760
0.9","560","0.7   
-","","-26.3",""
"",". Production et distribution d'énergie","-","110
0.1","76
0.1","108","0.1   
-","","42.1",""
"",". Industrie des biens intermédiaires","-","995
1.2","564
0.7","556","0.7   
-","","-1.4",""
"",". Industrie des biens d'équipements","-","2 250
2.7","1 732
2.1","1 148","1.5   
-","","-33.7",""
"",". Industries des biens de consommations courantes","-","5 845
7.1","5 756
7.1","4 688","6.0   
-","","-18.6",""
"","Bâtiment et génie civil","1 716
2.0","1 560
1.9","996
1.2","1 228","1.6   
-","","23.3",""
"dont","Industrie","-","-","-","-","3 473","5.5","",""
"","Energie","-","-","-","-","89","0.1","",""
"","Construction","-","-","-","-","547","0.9","",""
"SECTEUR TERTIAIRE","","69 572
82.1","70 470
85.9","71 468
87.8","70 336
89.4","58 923","93.4","-1.6","-16.2"
"dont","Commerce","16 544
19.5","13 805
16.8","13 172
16.2","11 928","15.2   
9 307","14.8","-9.4","-22.0"
"","Transports et télécommunications","-","5 045
6.1","4 568
5.6","5 808","7.4","","27.1",""
"","Services marchands","-","17 060
20.8","19 192
23.6","22 488","28.6","","17.2",""
"","Location et crédit bail immobilier","-","185
0.2","228
0.3","292","0.4","","28.1",""
"","Assurances","-","2 145
2.6","2 040
2.5","1 176","1.5","","-42.4",""
"","Organismes financiers","-","13 645
16.6","13 912
17.1","12 996","16.5","","-6.6",""
"","Services non marchands","-","18 585
22.7","18 356
22.6","15 648","19.9","","-14.8",""
"dont","Transports","-","-","-","-","2 019","3.2","",""
"","Activités immobilières","-","-","-","-","1 329","2.1","",""
"","Activités financières","-","-","-","-","11 025","17.5","",""
"","Services aux entreprises","-","-","-","-","11 593","18.4","",""
"","Services aux particuliers","-","-","-","-","10 556","16.7","",""
"","Education","-","-","-","-","2 618","4.2","",""
"","Administration","-","-","-","-","10 476","16.6","",""
"TOTAL DES EMPLOIS EXERCÉS","","84 724
100.0","82 045
100.0","81 372
100.0","78 664
100.0","63 056","100.0","-3.3","-19.8"
