"Quartier 3","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"PALAIS ROYAL","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","805","11.3","557","8.4","395","7.0","290","6.4","340","8.0","17.2"
"Professions libérales et cadres supérieurs","374","5.2","397","6.0","391","6.9","370","8.2","500","11.7","35.1"
"Cadres moyens","423","5.9","497","7.5","490","8.7","430","9.6","320","7.5","-25.6"
"Employés","945","13.2","881","13.2","702","12.5","565","12.6","220","5.2","-61.1"
"Ouvriers","785","11.0","670","10.0","575","10.2","325","7.2","320","7.5","-1.5"
"Personnel de service","747","10.5","705","10.6","548","9.7","375","8.3","340","8.0","-9.3"
"Autres actifs (2)","149","2.1","143","2.1","94","1.7","70","1.6","160","3.8","128.6"
"ACTIFS","4 228","59.2","3 850","57.7","3 195","56.7","2 425","53.9","2 200","51.6","-9.3"
"Enfants de moins de 15 ans","1 056","14.8","867","13.0","640","11.4","430","9.6","404","9.5","-6.0"
"Retraités","422","5.9","504","7.6","581","10.3","745","16.6","552","13.0","-25.9"
"Autres sans activité professionnelle","1 438","20.1","1 447","21.7","1 218","21.6","900","20.0","1 104","25.9","22.7"
"INACTIFS","2 916","40.8","2 818","42.3","2 439","43.3","2 075","46.1","2 060","48.4","-0.7"
"TOTAL","7 144","100.0","6 668","100.0","5 634","100.0","4 500","100.0","4 260","100.0","-5.3"
