"Quartier 53","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"MONTPARNASSE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","1 667","6.1","1 347","4.6","1 107","4.1","740","3.4","620","2.8","-16.2"
"Professions libérales et cadres supérieurs","1 695","6.2","1 835","6.2","1 972","7.2","2 270","10.3","2 480","11.3","9.3"
"Cadres moyens","1 986","7.3","2 132","7.2","2 201","8.1","2 120","9.7","2 020","9.2","-4.7"
"Employés","3 325","12.2","3 094","10.5","2 583","9.5","2 210","10.1","1 860","8.4","-15.8"
"Ouvriers","3 407","12.5","2 965","10.0","2 318","8.5","1 615","7.4","1 560","7.1","-3.4"
"Personnel de service","2 077","7.6","1 845","6.2","1 665","6.1","1 025","4.7","840","3.8","-18.0"
"Autres actifs (2)","703","2.6","958","3.2","813","3.0","850","3.9","500","2.3","-41.2"
"ACTIFS","14 860","54.3","14 176","47.9","12 659","46.4","10 830","49.4","9 880","44.9","-8.8"
"Enfants de moins de 15 ans","4 067","14.9","3 634","12.3","2 870","10.5","2 410","11.0","2 240","10.2","-7.1"
"Retraités","1 998","7.3","2 584","8.7","2 945","10.8","2 905","13.2","3 144","14.3","8.2"
"Autres sans activité professionnelle","6 421","23.5","9 188","31.1","8 795","32.3","5 795","26.4","6 756","30.7","16.6"
"INACTIFS","12 486","45.7","15 406","52.1","14 610","53.6","11 110","50.6","12 140","55.1","9.3"
"TOTAL","27 346","100.0","29 582","100.0","27 269","100.0","21 940","100.0","22 020","100.0","0.4"
