"14ème   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"PARC DE LOGEMENTS","","","","","","","","","","","","","","","",""
"Total :","72 980","100.0","74 781","100.0","69 703","100.0","76 725","100.0","76 768","100.0","77 796","100.0","79 545","100.0","1.3","2.2"
"Résidences principales","71 769","98.3","72 523","97.0","65 360","93.8","69 300","90.3","68 348","89.0","67 385","86.6","67 941","85.4","-1.4","0.8"
"Logements vacants (1)","296","0.4","1 195","1.6","2 115","3.0","4 495","5.9","5 680","7.4","5 533","7.1","7 500","9.4","-2.6","35.6"
"Résidences secondaires","773","1.1","1 063","1.4","2 228","3.2","2 930","3.8","2 740","3.6","1 161","1.5","2 002","2.5","-57.6","72.4"
"Logements occasionnels (2)","-","","-","","-","","-","","-","","3 717","4.8","2 102","2.6","","-43.4"
"Autres","142","0.2","-","","-","","-","","-","","-","","-","","",""
"RÉSIDENCES PRINCIPALES","71 769","100.0","72 523","100.0","65 360","100.0","69 300","100.0","68 348","100.0","67 385","100.0","67 941","100.0","-1.4","0.8"
"EPOQUE D'ACHEVEMENT","","","","","","","","","","","","","","","",""
". Avant 1915","53 559","73.6","52 337","72.2","43 216","66.1","37 945","54.8","28 904","42.3","27 887","41.4","25 908","38.1","-3.5","-7.1"
". 1915 à 1948","13 315","18.3","16 277","22.4","16 052","24.6","16 675","24.1","17 452","25.5","15 494","23.0","15 071","22.2","-11.2","-2.7"
". 1949 à 1981","344","0.5","3 909","5.4","6 092","9.3","14 680","21.2","21 992","32.2","20 483","30.4","20 887","30.7","-6.9","2.0"
". 1982 à 1989","-","","-","","-","","-","","-","","3 521","5.2","3 237","4.8","","-8.1"
". 1990 à 1999","-","","-","","-","","-","","-","","-","","2 838","4.2","",""
". Non déterminée","5 535","7.6","-","","-","","-","","-","","-","","-","","",""
"CONFORT","","","","","","","","","","","","","","","",""
". ni WC ni douche","-","","-","","-","","-","","7 868","11.5","3 560","5.3","1 402","2.1","-54.8","-60.6"
". sans WC ou sans douche","-","","-","","-","","-","","10 412","15.2","5 821","8.6","3 598","5.3","-44.1","-38.2"
"Total sans confort","-","","-","","-","","-","","18 280","26.7","9 381","13.9","5 000","7.4","-48.7","-46.7"
". WC et douche, sans chauffage central","-","","-","","-","","-","","11 800","17.3","9 333","13.9","3 808","5.6","-20.9","-59.2"
". WC et douche, avec chauffage central","-","","-","","-","","-","","38 268","56.0","48 671","72.2","59 133","87.0","27.2","21.5"
"Total confort","-","","-","","-","","-","","50 068","73.3","58 004","86.1","62 941","92.6","15.9","8.5"
"Avec WC intérieurs","35 502","49.5","39 492","54.5","40 344","61.7","51 305","74.0","56 548","82.7","61 405","91.1","64 200","94.5","8.6","4.6"
"Avec baignoire ou douche","11 822","16.5","20 549","28.3","27 728","42.4","44 145","63.7","54 020","79.0","60 424","89.7","65 280","96.1","11.9","8.0"
