"Quartier 27","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"ECOLE MILITAIRE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","864","4.3","649","3.2","577","3.1","535","3.3","360","2.4","-32.7"
"Professions libérales et cadres supérieurs","1 785","8.9","1 927","9.4","2 023","10.9","2 120","13.0","2 220","14.7","4.7"
"Cadres moyens","1 350","6.7","1 397","6.8","1 429","7.7","1 315","8.0","1 340","8.9","1.9"
"Employés","2 067","10.2","2 030","9.9","1 660","8.9","1 255","7.7","1 000","6.6","-20.3"
"Ouvriers","1 472","7.3","1 303","6.4","1 112","6.0","900","5.5","640","4.2","-28.9"
"Personnel de service","1 825","9.0","1 704","8.3","1 471","7.9","1 040","6.4","620","4.1","-40.4"
"Autres actifs (2)","733","3.6","844","4.1","761","4.1","840","5.1","520","3.5","-38.1"
"ACTIFS","10 096","50.1","9 854","48.1","9 033","48.6","8 005","48.9","6 700","44.5","-16.3"
"Enfants de moins de 15 ans","3 586","17.8","3 227","15.7","2 478","13.3","2 175","13.3","1 856","12.3","-14.7"
"Retraités","1 110","5.5","1 544","7.5","1 720","9.2","1 825","11.2","1 908","12.7","4.5"
"Autres sans activité professionnelle","5 374","26.6","5 866","28.6","5 371","28.9","4 360","26.6","4 596","30.5","5.4"
"INACTIFS","10 070","49.9","10 637","51.9","9 569","51.4","8 360","51.1","8 360","55.5","0.0"
"TOTAL","20 166","100.0","20 491","100.0","18 602","100.0","16 365","100.0","15 060","100.0","-8.0"
