"Quartier 26","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"INVALIDES","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","572","4.7","465","4.0","382","3.8","315","3.6","300","3.6","-4.8"
"Professions libérales et cadres supérieurs","1 107","9.0","1 103","9.5","1 090","10.7","1 130","13.1","1 220","14.5","8.0"
"Cadres moyens","723","5.9","744","6.4","733","7.2","530","6.1","640","7.6","20.8"
"Employés","1 317","10.8","1 136","9.8","857","8.4","645","7.5","520","6.2","-19.4"
"Ouvriers","840","6.9","714","6.2","683","6.7","490","5.7","280","3.3","-42.9"
"Personnel de service","1 685","13.8","1 432","12.3","1 170","11.5","845","9.8","580","6.9","-31.4"
"Autres actifs (2)","276","2.3","311","2.7","206","2.0","200","2.3","300","3.6","50.0"
"ACTIFS","6 520","53.3","5 905","50.9","5 121","50.4","4 155","48.1","3 840","45.6","-7.6"
"Enfants de moins de 15 ans","1 907","15.6","1 542","13.3","1 295","12.7","1 220","14.1","904","10.7","-25.9"
"Retraités","680","5.6","711","6.1","807","7.9","930","10.8","992","11.8","6.7"
"Autres sans activité professionnelle","3 129","25.6","3 448","29.7","2 943","28.9","2 330","27.0","2 684","31.9","15.2"
"INACTIFS","5 716","46.7","5 701","49.1","5 045","49.6","4 480","51.9","4 580","54.4","2.2"
"TOTAL","12 236","100.0","11 606","100.0","10 166","100.0","8 635","100.0","8 420","100.0","-2.5"
