"Quartier 25","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"SAINT THOMAS D'AQUIN","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","1 228","5.1","912","3.8","847","4.1","590","3.6","560","3.5","-5.1"
"Professions libérales et cadres supérieurs","2 135","8.8","2 300","9.6","2 208","10.8","2 345","14.3","1 860","11.7","-20.7"
"Cadres moyens","1 551","6.4","1 610","6.7","1 487","7.2","1 315","8.0","1 300","8.2","-1.1"
"Employés","2 656","11.0","2 490","10.4","1 680","8.2","1 145","7.0","920","5.8","-19.7"
"Ouvriers","1 629","6.7","1 487","6.2","1 136","5.5","895","5.4","920","5.8","2.8"
"Personnel de service","2 737","11.3","2 476","10.4","2 140","10.4","1 470","8.9","1 240","7.8","-15.6"
"Autres actifs (2)","484","2.0","866","3.6","835","4.1","575","3.5","640","4.0","11.3"
"ACTIFS","12 420","51.5","12 141","50.8","10 333","50.4","8 335","50.7","7 440","47.0","-10.7"
"Enfants de moins de 15 ans","4 208","17.4","3 489","14.6","2 571","12.5","1 925","11.7","1 876","11.8","-2.5"
"Retraités","1 176","4.9","1 616","6.8","1 787","8.7","1 685","10.3","1 808","11.4","7.3"
"Autres sans activité professionnelle","6 331","26.2","6 647","27.8","5 827","28.4","4 485","27.3","4 716","29.8","5.2"
"INACTIFS","11 715","48.5","11 752","49.2","10 185","49.6","8 095","49.3","8 400","53.0","3.8"
"TOTAL","24 135","100.0","23 893","100.0","20 518","100.0","16 430","100.0","15 840","100.0","-3.6"
