"Quartier 28","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"GROS CAILLOU","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","2 639","5.8","1 978","4.6","1 796","4.7","1 325","4.1","1 140","3.7","-14.0"
"Professions libérales et cadres supérieurs","3 317","7.3","3 652","8.4","3 410","9.0","3 860","11.9","3 700","12.1","-4.1"
"Cadres moyens","2 884","6.3","3 094","7.1","3 025","8.0","2 555","7.9","2 780","9.1","8.8"
"Employés","5 278","11.6","4 967","11.4","3 816","10.1","3 175","9.8","2 740","9.0","-13.7"
"Ouvriers","4 524","9.9","3 807","8.8","2 971","7.8","1 945","6.0","1 540","5.0","-20.8"
"Personnel de service","4 963","10.9","4 398","10.1","3 601","9.5","2 405","7.4","1 620","5.3","-32.6"
"Autres actifs (2)","738","1.6","696","1.6","524","1.4","490","1.5","300","1.0","-38.8"
"ACTIFS","24 343","53.3","22 592","52.0","19 143","50.5","15 755","48.5","13 820","45.2","-12.3"
"Enfants de moins de 15 ans","7 138","15.6","5 945","13.7","4 599","12.1","3 885","12.0","3 604","11.8","-7.2"
"Retraités","2 791","6.1","3 545","8.2","3 916","10.3","4 435","13.6","4 544","14.9","2.5"
"Autres sans activité professionnelle","11 368","24.9","11 331","26.1","10 270","27.1","8 430","25.9","8 612","28.2","2.2"
"INACTIFS","21 297","46.7","20 821","48.0","18 785","49.5","16 750","51.5","16 760","54.8","0.1"
"TOTAL","45 640","100.0","43 413","100.0","37 928","100.0","32 505","100.0","30 580","100.0","-5.9"
