"Quartier 3","1982","","1990","","1999","","","évolution en %"
"PALAIS ROYAL","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"Artisans, commerçants, chefs d'entreprise","256","6.4","160","5.1","176","5.6","-37.5","10.0"
"Cadres, professions intellectuelles supérieures","528","13.3","668","21.1","832","26.5","26.5","24.6"
"Professions intermédiaires","304","7.6","308","9.7","328","10.5","1.3","6.5"
"Employés","772","19.4","456","14.4","353","11.3","-40.9","-22.6"
"Ouvriers","264","6.6","104","3.3","108","3.4","-60.6","3.8"
"Autres actifs (1)","36","0.9","8","0.3","10","0.3","-77.8","25.0"
"ACTIFS","2 160","54.3","1 704","53.9","1 807","57.6","-21.1","6.0"
"Enfants  de moins de 15 ans","404","10.2","304","9.6","302","9.6","-24.8","-0.7"
"Retraités","552","13.9","604","19.1","500","15.9","9.4","-17.2"
"Autres sans activité professionnelle","864","21.7","552","17.4","526","16.8","-36.1","-4.7"
"INACTIFS","1 820","45.7","1 460","46.1","1 328","42.4","-19.8","-9.0"
"TOTAL","3 980","100.0","3 164","100.0","3 135","100.0","-20.5","-0.9"
