"Quartier 4","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"PLACE VENDOME","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","844","11.5","572","8.6","454","7.7","315","7.5","160","4.9","-49.2"
"Professions libérales et cadres supérieurs","399","5.4","420","6.3","396","6.7","335","7.9","240","7.4","-28.4"
"Cadres moyens","441","6.0","509","7.6","471","8.0","255","6.0","240","7.4","-5.9"
"Employés","906","12.3","789","11.8","609","10.3","435","10.3","500","15.3","14.9"
"Ouvriers","779","10.6","641","9.6","578","9.8","415","9.8","220","6.7","-47.0"
"Personnel de service","937","12.7","780","11.7","683","11.5","410","9.7","320","9.8","-22.0"
"Autres actifs (2)","98","1.3","111","1.7","112","1.9","100","2.4","40","1.2","-60.0"
"ACTIFS","4 404","59.9","3 822","57.4","3 303","55.8","2 265","53.7","1 720","52.8","-24.1"
"Enfants de moins de 15 ans","1 013","13.8","822","12.3","646","10.9","485","11.5","372","11.4","-23.3"
"Retraités","410","5.6","524","7.9","617","10.4","585","13.9","536","16.4","-8.4"
"Autres sans activité professionnelle","1 526","20.8","1 493","22.4","1 357","22.9","880","20.9","632","19.4","-28.2"
"INACTIFS","2 949","40.1","2 839","42.6","2 620","44.2","1 950","46.3","1 540","47.2","-21.0"
"TOTAL","7 353","100.0","6 661","100.0","5 923","100.0","4 215","100.0","3 260","100.0","-22.7"
