"11ème   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"PARC DE LOGEMENTS","","","","","","","","","","","","","","","",""
"Total :","91 367","100.0","90 973","100.0","88 626","100.0","91 165","100.0","92 228","100.0","95 492","100.0","97 626","100.0","3.5","2.2"
"Résidences principales","89 911","98.4","88 123","96.9","83 229","93.9","79 425","87.1","76 308","82.7","81 930","85.8","82 579","84.6","7.4","0.8"
"Logements vacants (1)","363","0.4","1 193","1.3","3 391","3.8","9 710","10.7","12 708","13.8","8 303","8.7","10 764","11.0","-34.7","29.6"
"Résidences secondaires","1 041","1.1","1 657","1.8","2 006","2.3","2 030","2.2","3 212","3.5","1 367","1.4","1 852","1.9","-57.4","35.5"
"Logements occasionnels (2)","-","","-","","-","","-","","-","","3 892","4.1","2 431","2.5","","-37.5"
"Autres","52","0.1","-","","-","","-","","-","","-","","-","","",""
"RÉSIDENCES PRINCIPALES","89 911","100.0","88 123","100.0","83 229","100.0","79 425","100.0","76 308","100.0","81 930","100.0","82 579","100.0","7.4","0.8"
"EPOQUE D'ACHEVEMENT","","","","","","","","","","","","","","","",""
". Avant 1915","74 971","82.8","80 094","90.9","69 777","83.8","56 255","70.8","43 248","56.7","50 712","61.9","46 121","55.9","17.3","-9.1"
". 1915 à 1948","5 108","5.6","6 725","7.6","10 543","12.7","12 055","15.2","13 940","18.3","9 388","11.5","9 752","11.8","-32.7","3.9"
". 1949 à 1981","63","0.1","1 304","1.5","2 909","3.5","11 115","14.0","19 120","25.1","18 411","22.5","19 039","23.1","-3.7","3.4"
". 1982 à 1989","-","","-","","-","","-","","-","","3 419","4.2","2 977","3.6","","-12.9"
". 1990 à 1999","-","","-","","-","","-","","-","","-","","4 690","5.7","",""
". Non déterminée","10 416","11.5","-","","-","","-","","-","","-","","-","","",""
"CONFORT","","","","","","","","","","","","","","","",""
". ni WC ni douche","-","","-","","-","","-","","16 112","21.1","9 775","11.9","3 965","4.8","-39.3","-59.4"
". sans WC ou sans douche","-","","-","","-","","-","","13 732","18.0","8 954","10.9","5 848","7.1","-34.8","-34.7"
"Total sans confort","-","","-","","-","","-","","29 844","39.1","18 729","22.9","9 813","11.9","-37.2","-47.6"
". WC et douche, sans chauffage central","-","","-","","-","","-","","15 784","20.7","15 585","19.0","6 977","8.4","-1.3","-55.2"
". WC et douche, avec chauffage central","-","","-","","-","","-","","30 680","40.2","47 616","58.1","65 789","79.7","55.2","38.2"
"Total confort","-","","-","","-","","-","","46 464","60.9","63 201","77.1","72 766","88.1","36.0","15.1"
"Avec WC intérieurs","29 650","33.0","32 116","36.4","33 404","40.1","45 280","57.0","53 296","69.8","67 506","82.4","74 645","90.4","26.7","10.6"
"Avec baignoire ou douche","7 480","8.3","14 347","16.3","22 783","27.4","40 715","51.3","53 420","70.0","67 850","82.8","76 735","92.9","27.0","13.1"
