"11ème   arrondissement","1982","","1990","","1999","","","évolution en %"
"","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"Artisans, commerçants, chefs d'entreprise","5 448","3.7","5 576","3.6","4 891","3.3","2.3","-12.3"
"Cadres, professions intellectuelles supérieures","12 004","8.2","21 492","14.0","27 475","18.5","79.0","27.8"
"Professions intermédiaires","15 088","10.4","18 556","12.1","21 197","14.2","23.0","14.2"
"Employés","25 612","17.6","21 788","14.2","19 688","13.2","-14.9","-9.6"
"Ouvriers","18 452","12.7","16 329","10.6","10 257","6.9","-11.5","-37.2"
"Autres actifs (1)","1 280","0.9","1 297","0.8","1 222","0.8","1.3","-5.8"
"ACTIFS","77 884","53.4","85 038","55.4","84 730","56.9","9.2","-0.4"
"Enfants  de moins de 15 ans","19 432","13.3","20 972","13.7","18 680","12.6","7.9","-10.9"
"Retraités","22 964","15.8","23 180","15.1","21 363","14.4","0.9","-7.8"
"Autres sans activité professionnelle","25 496","17.5","24 338","15.9","24 012","16.1","-4.5","-1.3"
"INACTIFS","67 892","46.6","68 490","44.6","64 055","43.1","0.9","-6.5"
"TOTAL","145 776","100.0","153 528","100.0","148 785","100.0","5.3","-3.1"
