"11ème   arrondissement","","1968","","1975","","1982","","1990","","","1999","","évolution en %"
"","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","","%","1982-1990
1990-1999"
"SECTEUR PRIMAIRE (1)","","76","0.1","50","0.1","12","0.0","32","0.0","","41","0.1","166.7
28.1"
"SECTEUR SECONDAIRE (2)","48 484","","51.2","38 090","43.6","27 240","38.9","21 864","29.2","10 923","","16.1","-19.7
-50.0"
"dont
Industrie","39 852","","42.1","31 295","35.8","22 460","32.1","17 160","22.9","","-","","-23.6"
". Industrie agro-alimentaire","","-","","1 530","1.8","1 112","1.6","764","1.0","","-","","-31.3"
". Production et distribution d'énergie","","-","","830","1.0","960","1.4","912","1.2","","-","","-5.0"
". Industrie des biens intermédiaires","","-","","6 260","7.2","3 288","4.7","1 968","2.6","","-","","-40.1"
". Industrie des biens d'équipements","","-","","7 310","8.4","4 264","6.1","2 396","3.2","","-","","-43.8"
". Industries des biens de consommations courantes","","-","","15 365","17.6","12 836","18.3","11 120","14.9","","-","","-13.4"
"Bâtiment et génie civil","","8 632","9.1","6 795","7.8","4 780","6.8","4 704","6.3","","-","","-1.6"
