"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","",""
"Total :","45 310","100.0","43 063","100.0","40 039","100.0","36 300","100.0","34 688","100.0","30 481","100.0","30 441","100.0","-12.1","-0.1"
"TAILLE","","","","","","","","","","","","","","","",""
". 1 pièce","15 423","34.0","16 165","37.5","14 172","35.4","12 285","33.8","10 404","30.0","8 254","27.1","7 918","26.0","-20.7","-4.1"
". 2 pièces","11 154","24.6","11 383","26.4","10 611","26.5","9 620","26.5","9 676","27.9","8 388","27.5","8 417","27.7","-13.3","0.3"
". 3 pièces","7 897","17.4","7 739","18.0","7 412","18.5","7 180","19.8","7 188","20.7","6 604","21.7","6 402","21.0","-8.1","-3.1"
". 4 pièces","8 149","18.0","4 016","9.3","3 955","9.9","3 780","10.4","3 860","11.1","3 944","12.9","4 003","13.2","2.2","1.5"
". 5 pièces et plus","","","3 760","8.7","3 889","9.7","3 435","9.5","3 560","10.3","3 291","10.8","3 701","12.2","-7.6","12.5"
". Non déterminée","2 687","5.9","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","",""
". Logement ordinaire","-","","35 168","81.7","32 412","81.0","31 345","86.3","31 804","91.7","29 084","95.4","29 463","96.8","-8.6","1.3"
". Chambre d'hôtel meublé","-","","3 855","9.0","2 447","6.1","1 440","4.0","756","2.2","258","0.8","122","0.4","-65.9","-52.7"
". Pièce indépendante louée ou prêtée","-","","3 958","9.2","4 986","12.5","3 495","9.6","2 064","6.0","1 128","3.7","845","2.8","-45.3","-25.1"
". Construction provisoire,hab. de fortune","-","","82","0.2","194","0.5","20","0.1","16","0.0","11","0.0","11","0.0","-31.3","0.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","",""
". Propriétaire","5 152","11.4","9 002","20.9","9 136","22.8","9 910","27.3","9 740","28.1","10 439","34.2","10 971","36.0","7.2","5.1"
". Locataire","40 158","88.6","28 978","67.3","25 525","63.8","21 895","60.3","21 208","61.1","16 725","54.9","16 817","55.2","-21.1","0.6"
"d'un local loué vide HLM","-","","-","","-","","-","","320","0.9","165","0.5","650","2.1","-48.4","293.9"
"d'un local loué vide non HLM","-","","-","","-","","-","","18 748","54.0","15 257","50.1","14 576","47.9","-18.6","-4.5"
"d'un local loué meublé","-","","-","","-","","-","","2 140","6.2","1 303","4.3","1 591","5.2","-39.1","22.1"
". Logé gratuitement","-","","5 083","11.8","5 378","13.4","4 495","12.4","3 740","10.8","3 317","10.9","2 653","8.7","-11.3","-20.0"
