"Quartier 34","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"CHAUSSEE D'ANTIN","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","1 109","11.2","682","7.8","569","7.4","345","6.2","300","6.5","-13.0"
"Professions libérales et cadres supérieurs","509","5.1","524","6.0","413","5.4","330","6.0","420","9.1","27.3"
"Cadres moyens","601","6.0","550","6.3","516","6.7","375","6.8","400","8.7","6.7"
"Employés","1 458","14.7","1 290","14.8","984","12.8","710","12.8","720","15.6","1.4"
"Ouvriers","1 110","11.2","908","10.4","779","10.2","480","8.7","220","4.8","-54.2"
"Personnel de service","1 126","11.3","966","11.1","892","11.6","665","12.0","320","6.9","-51.9"
"Autres actifs (2)","158","1.6","146","1.7","109","1.4","105","1.9","100","2.2","-4.8"
"ACTIFS","6 071","61.1","5 066","58.1","4 262","55.6","3 010","54.4","2 480","53.7","-17.6"
"Enfants de moins de 15 ans","1 387","14.0","1 179","13.5","879","11.5","655","11.8","536","11.6","-18.2"
"Retraités","517","5.2","589","6.8","741","9.7","810","14.6","660","14.3","-18.5"
"Autres sans activité professionnelle","1 962","19.7","1 890","21.7","1 777","23.2","1 055","19.1","944","20.4","-10.5"
"INACTIFS","3 866","38.9","3 658","41.9","3 397","44.4","2 520","45.6","2 140","46.3","-15.1"
"TOTAL","9 937","100.0","8 724","100.0","7 659","100.0","5 530","100.0","4 620","100.0","-16.5"
