"Quartier 36","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"ROCHECHOUART","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","3 254","8.8","2 417","6.9","1 963","6.3","1 255","4.7","1 080","4.4","-13.9"
"Professions libérales et cadres supérieurs","1 877","5.1","1 963","5.6","1 773","5.7","2 055","7.7","1 980","8.0","-3.6"
"Cadres moyens","2 738","7.4","2 692","7.7","2 686","8.6","2 265","8.4","2 440","9.9","7.7"
"Employés","5 151","14.0","4 766","13.7","4 038","12.9","4 015","15.0","3 440","13.9","-14.3"
"Ouvriers","4 269","11.6","3 807","10.9","3 217","10.3","2 575","9.6","2 180","8.8","-15.3"
"Personnel de service","2 823","7.6","2 494","7.1","2 167","6.9","1 745","6.5","1 280","5.2","-26.6"
"Autres actifs (2)","670","1.8","591","1.7","457","1.5","355","1.3","380","1.5","7.0"
"ACTIFS","20 782","56.3","18 730","53.7","16 301","52.3","14 265","53.1","12 780","51.8","-10.4"
"Enfants de moins de 15 ans","5 256","14.2","4 691","13.4","3 772","12.1","3 140","11.7","2 948","12.0","-6.1"
"Retraités","2 581","7.0","3 356","9.6","3 713","11.9","3 980","14.8","4 104","16.6","3.1"
"Autres sans activité professionnelle","8 300","22.5","8 107","23.2","7 400","23.7","5 460","20.3","4 828","19.6","-11.6"
"INACTIFS","16 137","43.7","16 154","46.3","14 885","47.7","12 580","46.9","11 880","48.2","-5.6"
"TOTAL","36 919","100.0","34 884","100.0","31 186","100.0","26 845","100.0","24 660","100.0","-8.1"
