"Quartier 45","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"BEL AIR","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","2 463","7.2","1 906","5.0","1 798","4.7","1 290","3.5","1 140","3.2","-11.6"
"Professions libérales et cadres supérieurs","1 849","5.4","2 461","6.4","2 835","7.5","3 460","9.4","3 800","10.8","9.8"
"Cadres moyens","2 949","8.7","3 552","9.3","4 049","10.7","4 050","11.0","4 420","12.5","9.1"
"Employés","4 460","13.1","5 177","13.6","4 745","12.5","5 000","13.6","4 980","14.1","-0.4"
"Ouvriers","4 275","12.6","4 297","11.3","3 724","9.8","2 940","8.0","2 560","7.2","-12.9"
"Personnel de service","1 645","4.8","1 626","4.3","1 616","4.3","1 585","4.3","1 600","4.5","0.9"
"Autres actifs (2)","493","1.4","569","1.5","593","1.6","515","1.4","420","1.2","-18.4"
"ACTIFS","18 134","53.3","19 588","51.3","19 360","51.1","18 840","51.1","18 920","53.6","0.4"
"Enfants de moins de 15 ans","5 659","16.6","6 331","16.6","5 336","14.1","4 740","12.9","4 392","12.4","-7.3"
"Retraités","2 399","7.1","3 491","9.1","4 343","11.5","5 670","15.4","6 396","18.1","12.8"
"Autres sans activité professionnelle","7 811","23.0","8 783","23.0","8 817","23.3","7 590","20.6","5 612","15.9","-26.1"
"INACTIFS","15 869","46.7","18 605","48.7","18 496","48.9","18 000","48.9","16 400","46.4","-8.9"
"TOTAL","34 003","100.0","38 193","100.0","37 856","100.0","36 840","100.0","35 320","100.0","-4.1"
