"Quartier 48","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"QUINZE VINGTS","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","3 307","7.5","2 644","6.0","2 052","5.2","1 635","5.2","1 540","5.2","-5.8"
"Professions libérales et cadres supérieurs","1 488","3.4","1 543","3.5","1 561","3.9","1 795","5.7","1 540","5.2","-14.2"
"Cadres moyens","2 464","5.6","2 713","6.2","2 887","7.3","2 190","7.0","2 340","7.9","6.8"
"Employés","5 502","12.4","5 478","12.5","5 054","12.8","3 985","12.7","3 760","12.7","-5.6"
"Ouvriers","8 865","20.0","8 318","19.0","7 035","17.8","4 790","15.2","3 920","13.3","-18.2"
"Personnel de service","2 719","6.1","2 720","6.2","2 464","6.2","2 065","6.6","1 380","4.7","-33.2"
"Autres actifs (2)","518","1.2","445","1.0","326","0.8","275","0.9","300","1.0","9.1"
"ACTIFS","24 863","56.0","23 861","54.6","21 379","54.0","16 735","53.2","14 780","50.1","-11.7"
"Enfants de moins de 15 ans","7 180","16.2","6 928","15.8","5 434","13.7","3 955","12.6","3 472","11.8","-12.2"
"Retraités","2 964","6.7","3 551","8.1","4 287","10.8","4 610","14.7","4 668","15.8","1.3"
"Autres sans activité professionnelle","9 381","21.1","9 384","21.5","8 461","21.4","6 155","19.6","6 600","22.4","7.2"
"INACTIFS","19 525","44.0","19 863","45.4","18 182","46.0","14 720","46.8","14 740","49.9","0.1"
"TOTAL","44 388","100.0","43 724","100.0","39 561","100.0","31 455","100.0","29 520","100.0","-6.2"
