"12ème   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","64 330","100.0","67 475","100.0","67 381","100.0","67 080","100.0","71 204","100.0","67 984","100.0","71 909","100.0","-4.5","5.8"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","",""
". 1 personne","18 649","29.0","20 891","31.0","23 010","34.1","27 845","41.5","33 988","47.7","33 648","49.5","37 089","51.6","-1.0","10.2"
". 2 personnes","21 837","33.9","22 395","33.2","21 870","32.5","20 725","30.9","20 548","28.9","19 438","28.6","19 663","27.3","-5.4","1.2"
". 3 personnes","12 964","20.2","12 449","18.4","11 677","17.3","10 340","15.4","8 936","12.5","7 834","11.5","7 664","10.7","-12.3","-2.2"
". 4 personnes","6 563","10.2","6 930","10.3","6 600","9.8","5 520","8.2","5 476","7.7","5 017","7.4","5 054","7.0","-8.4","0.7"
". 5 personnes et plus","4 317","6.7","4 810","7.1","4 224","6.3","2 650","4.0","2 256","3.2","2 047","3.0","2 439","3.4","-9.3","19.1"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","",""
". sans enfant","-","","-","","51 414","76.3","53 645","80.0","58 392","82.0","56 406","83.0","59 456","82.7","-3.4","5.4"
". 1 enfant","-","","-","","9 368","13.9","8 170","12.2","7 440","10.4","6 674","9.8","6 904","9.6","-10.3","3.4"
". 2 enfants","-","","-","","4 499","6.7","3 855","5.7","4 212","5.9","3 666","5.4","4 036","5.6","-13.0","10.1"
". 3 enfants ou plus","-","","-","","2 100","3.1","1 410","2.1","1 160","1.6","1 238","1.8","1 513","2.1","6.7","22.2"
"POPULATION DES MÉNAGES","151 812","","158 092","","151 973","","136 940","","135 980","","127 245","","132 936","","-6.4","4.5"
