"Quartier 46","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"PICPUS","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","3 960","6.1","3 166","4.5","2 872","4.1","1 990","3.1","2 140","3.2","7.5"
"Professions libérales et cadres supérieurs","2 088","3.2","2 766","4.0","3 485","5.0","5 185","8.0","5 840","8.9","12.6"
"Cadres moyens","4 266","6.6","5 405","7.8","6 577","9.4","6 625","10.3","7 460","11.3","12.6"
"Employés","8 849","13.6","9 350","13.4","9 549","13.7","9 640","14.9","10 260","15.6","6.4"
"Ouvriers","12 440","19.1","11 543","16.6","9 702","13.9","7 345","11.4","5 720","8.7","-22.1"
"Personnel de service","3 132","4.8","3 251","4.7","3 242","4.7","3 010","4.7","3 300","5.0","9.6"
"Autres actifs (2)","998","1.5","1 101","1.6","865","1.2","790","1.2","680","1.0","-13.9"
"ACTIFS","35 733","55.0","36 582","52.5","36 292","52.1","34 585","53.5","35 400","53.7","2.4"
"Enfants de moins de 15 ans","11 121","17.1","11 629","16.7","10 416","15.0","8 655","13.4","8 532","12.9","-1.4"
"Retraités","4 544","7.0","6 358","9.1","7 916","11.4","9 270","14.3","10 544","16.0","13.7"
"Autres sans activité professionnelle","13 568","20.9","15 141","21.7","15 026","21.6","12 105","18.7","11 504","17.4","-5.0"
"INACTIFS","29 233","45.0","33 128","47.5","33 358","47.9","30 030","46.5","30 580","46.3","1.8"
"TOTAL","64 966","100.0","69 710","100.0","69 650","100.0","64 615","100.0","65 980","100.0","2.1"
