"Quartier 7","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"MAIL","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","1 151","9.7","925","8.2","645","6.5","460","6.0","340","5.0","-26.1"
"Professions libérales et cadres supérieurs","285","2.4","304","2.7","301","3.0","320","4.2","380","5.6","18.8"
"Cadres moyens","689","5.8","730","6.4","704","7.1","560","7.3","500","7.4","-10.7"
"Employés","1 685","14.1","1 675","14.8","1 442","14.4","1 240","16.1","900","13.3","-27.4"
"Ouvriers","2 215","18.6","2 005","17.7","1 765","17.7","1 205","15.6","700","10.4","-41.9"
"Personnel de service","1 132","9.5","958","8.4","877","8.8","640","8.3","440","6.5","-31.3"
"Autres actifs (2)","132","1.1","89","0.8","92","0.9","135","1.8","20","0.3","-85.2"
"ACTIFS","7 289","61.2","6 686","58.9","5 826","58.4","4 560","59.1","3 280","48.5","-28.1"
"Enfants de moins de 15 ans","1 755","14.7","1 706","15.0","1 325","13.3","860","11.2","816","12.1","-5.1"
"Retraités","678","5.7","811","7.1","1 019","10.2","1 080","14.0","1 100","16.3","1.9"
"Autres sans activité professionnelle","2 197","18.4","2 142","18.9","1 813","18.2","1 210","15.7","1 564","23.1","29.3"
"INACTIFS","4 630","38.8","4 659","41.1","4 157","41.6","3 150","40.9","3 480","51.5","10.5"
"TOTAL","11 919","100.0","11 345","100.0","9 983","100.0","7 710","100.0","6 760","100.0","-12.3"
