"Quartier 1","1954","","1962","","1968","","1975","","1982","","1990","","1999","","","évolution en %"
"SAINT GERMAIN L'AUXERROIS","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"POPULATION TOTALE","3 985","100.0","3 908","100.0","3 101","100.0","2 405","100.0","2 100","100.0","1 951","100.0","1 672","100.0","-7.1","-14.3"
"POPULATION PAR SEXE","","","","","","","","","","","","","","","",""
". Hommes","1 836","46.1","1 827","46.8","1 468","47.3","1 185","49.3","956","45.5","922","47.3","822","49.2","-3.6","-10.8"
". Femmes","2 149","53.9","2 081","53.2","1 633","52.7","1 220","50.7","1 144","54.5","1 029","52.7","850","50.8","-10.1","-17.4"
"ACTIVITÉ","","","","","","","","","","","","","","","",""
". Actifs hommes","1 276","32.1","1 216","31.1","996","32.1","725","30.1","596","28.4","591","30.3","517","34.7","-0.8","-12.5"
". Actifs femmes","1 125","28.3","1 058","27.1","816","26.3","605","25.2","596","28.4","509","26.1","419","28.2","-14.6","-17.7"
". Actifs total","2 401","60.4","2 274","58.2","1 812","58.4","1 330","55.3","1 192","56.8","1 100","56.4","936","62.9","-7.7","-14.9"
". Inactifs hommes","560","14.1","611","15.6","472","15.2","460","19.1","360","17.1","331","17.0","214","14.4","-8.1","-35.3"
". Inactifs femmes","1 014","25.5","1 023","26.2","817","26.3","615","25.6","548","26.1","520","26.7","338","22.7","-5.1","-35.0"
". Inactifs total","1 574","39.6","1 634","41.8","1 289","41.6","1 075","44.7","908","43.2","851","43.6","552","37.1","-6.3","-35.1"
"NATIONALITÉ","","","","","","","","","","","","","","","",""
". Français","3 801","95.4","3 592","91.9","2 733","88.1","2 125","88.4","1 736","82.7","1 639","84.0","1 448","86.6","-5.6","-11.7"
". Étrangers","184","4.6","316","8.1","368","11.9","280","11.6","364","17.3","312","16.0","224","13.4","-14.3","-28.2"
"TRANCHES D'ÂGE","","","","","","","","","","","","","","","",""
".  0 à 4  ans","199","5.0","181","4.6","112","3.6","70","2.9","76","3.6","63","3.2","53","3.2","-17.1","-15.9"
".  5 à 14 ans","362","9.1","362","9.3","242","7.8","185","7.7","164","7.8","144","7.4","131","7.8","-12.2","-9.0"
". 15 à 24 ans","484","12.1","530","13.6","476","15.3","380","15.8","288","13.7","240","12.3","185","11.1","-16.7","-22.9"
". 25 à 34 ans","746","18.7","649","16.6","455","14.7","265","11.0","332","15.8","375","19.2","341","20.4","13.0","-9.1"
". 35 à 64 ans","1 693","42.5","1 633","41.8","1 285","41.4","1 010","42.0","872","41.5","801","41.1","691","41.3","-8.1","-13.7"
". 65 à 74 ans","347","8.7","366","9.4","328","10.6","305","12.7","188","9.0","155","7.9","138","8.3","-17.6","-11.0"
". 75 ans et plus","144","3.6","187","4.8","203","6.5","190","7.9","180","8.6","173","8.9","133","8.0","-3.9","-23.1"
