"1er   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"PARC DE LOGEMENTS","","","","","","","","","","","","","","","",""
"Total :","18 015","100.0","17 511","100.0","16 658","100.0","13 245","100.0","12 672","100.0","13 812","100.0","13 687","100.0","9.0","-0.9"
"Résidences principales","17 662","98.0","17 095","97.6","15 645","93.9","11 840","89.4","10 280","81.1","10 227","74.0","9 882","72.2","-0.5","-3.4"
"Logements vacants (1)","96","0.5","148","0.8","394","2.4","920","6.9","1 704","13.4","2 157","15.6","2 304","16.8","26.6","6.8"
"Résidences secondaires","235","1.3","268","1.5","619","3.7","485","3.7","688","5.4","283","2.0","623","4.6","-58.9","120.1"
"Logements occasionnels (2)","-","","-","","-","","-","","-","","1 145","8.3","878","6.4","","-23.3"
"Autres","22","0.1","-","","-","","-","","-","","-","","-","","",""
"RÉSIDENCES PRINCIPALES","17 662","100.0","17 095","100.0","15 645","100.0","11 840","100.0","10 280","100.0","10 227","100.0","9 882","100.0","-0.5","-3.4"
"EPOQUE D'ACHEVEMENT","","","","","","","","","","","","","","","",""
". Avant 1915","16 154","89.8","16 680","97.6","15 229","97.3","10 935","92.4","8 696","84.6","9 592","93.8","8 961","90.7","10.3","-6.6"
". 1915 à 1948","208","1.2","346","2.0","355","2.3","655","5.5","1 188","11.6","138","1.3","286","2.9","-88.4","107.2"
". 1949 à 1981","0","","69","0.4","61","0.4","250","2.1","396","3.9","165","1.6","162","1.6","-58.3","-1.8"
". 1982 à 1989","-","","-","","-","","-","","-","","332","3.2","351","3.6","","5.7"
". 1990 à 1999","-","","-","","-","","-","","-","","-","","122","1.2","",""
". Non déterminée","1 618","9.0","-","","-","","-","","-","","-","","-","","",""
"CONFORT","","","","","","","","","","","","","","","",""
". ni WC ni douche","-","","-","","-","","-","","1 896","18.4","1 080","10.6","378","3.8","-43.0","-65.0"
". sans WC ou sans douche","-","","-","","-","","-","","2 028","19.7","1 168","11.4","796","8.1","-42.4","-31.8"
"Total sans confort","-","","-","","-","","-","","3 924","38.2","2 248","22.0","1 174","11.9","-42.7","-47.8"
". WC et douche, sans chauffage central","-","","-","","-","","-","","2 584","25.1","1 951","19.1","803","8.1","-24.5","-58.8"
". WC et douche, avec chauffage central","-","","-","","-","","-","","3 772","36.7","6 028","58.9","7 905","80.0","59.8","31.1"
"Total confort","-","","-","","-","","-","","6 356","61.8","7 979","78.0","8 708","88.1","25.5","9.1"
"Avec WC intérieurs","6 213","35.2","6 382","37.3","6 545","41.8","6 645","56.1","7 156","69.6","8 422","82.4","8 908","90.1","17.7","5.8"
"Avec baignoire ou douche","2 916","16.5","4 419","25.8","5 655","36.1","6 650","56.2","7 592","73.9","8 704","85.1","9 304","94.2","14.6","6.9"
