"Quartier 2","1982","","1990","","1999","","","évolution en %"
"HALLES","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"Artisans, commerçants, chefs d'entreprise","492","5.1","476","4.7","476","5.3","-3.3","0.0"
"Cadres, professions intellectuelles supérieures","1 084","11.2","1 952","19.2","2 260","25.2","80.1","15.8"
"Professions intermédiaires","888","9.2","1 156","11.4","1 148","12.8","30.2","-0.7"
"Employés","1 764","18.2","1 504","14.8","1 128","12.6","-14.7","-25.0"
"Ouvriers","944","9.8","792","7.8","384","4.3","-16.1","-51.5"
"Autres actifs (1)","64","0.7","56","0.6","52","0.6","-12.5","-7.1"
"ACTIFS","5 236","54.2","5 936","58.5","5 448","60.7","13.4","-8.2"
"Enfants  de moins de 15 ans","1 108","11.5","1 172","11.5","832","9.3","5.8","-29.0"
"Retraités","1 448","15.0","1 372","13.5","1 248","13.9","-5.2","-9.0"
"Autres sans activité professionnelle","1 876","19.4","1 672","16.5","1 444","16.1","-10.9","-13.6"
"INACTIFS","4 432","45.8","4 216","41.5","3 524","39.3","-4.9","-16.4"
"TOTAL","9 668","100.0","10 152","100.0","8 972","100.0","5.0","-11.6"
