"Quartier 1","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"SAINT GERMAIN L'AUXERROIS","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","366","9.2","292","7.5","226","7.3","140","5.8","100","5.2","-28.6"
"Professions libérales et cadres supérieurs","209","5.3","226","5.8","218","7.0","190","7.9","220","11.5","15.8"
"Cadres moyens","205","5.2","232","5.9","221","7.1","180","7.5","180","9.4","0.0"
"Employés","616","15.5","550","14.1","431","13.9","345","14.3","80","4.2","-76.8"
"Ouvriers","552","13.9","556","14.2","395","12.7","230","9.6","160","8.3","-30.4"
"Personnel de service","383","9.6","329","8.4","258","8.3","190","7.9","200","10.4","5.3"
"Autres actifs (2)","70","1.8","89","2.3","63","2.0","55","2.3","60","3.1","9.1"
"ACTIFS","2 401","60.4","2 274","58.2","1 812","58.4","1 330","55.3","1 000","52.1","-24.8"
"Enfants de moins de 15 ans","561","14.1","543","13.9","354","11.4","255","10.6","240","12.5","-5.9"
"Retraités","250","6.3","278","7.1","239","7.7","335","13.9","272","14.2","-18.8"
"Autres sans activité professionnelle","763","19.2","813","20.8","696","22.4","485","20.2","408","21.3","-15.9"
"INACTIFS","1 574","39.6","1 634","41.8","1 289","41.6","1 075","44.7","920","47.9","-14.4"
"TOTAL","3 975","100.0","3 908","100.0","3 101","100.0","2 405","100.0","1 920","100.0","-20.2"
