"Quartier 42","","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"SAINT AMBROISE","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","","-","","18 597","100.0","17 052","100.0","16 425","100.0","16 432","100.0","18 146","100.0","18 215","100.0","10.4","0.4"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","","",""
". 1 personne","","-","","6 779","36.5","6 456","37.9","6 945","42.3","7 984","48.6","9 469","52.2","10 087","55.4","18.6","6.5"
". 2 personnes","","-","","6 197","33.3","5 705","33.5","5 355","32.6","4 880","29.7","5 006","27.6","4 743","26.0","2.6","-5.3"
". 3 personnes","","-","","3 169","17.0","2 711","15.9","2 360","14.4","2 028","12.3","1 878","10.3","1 774","9.7","-7.4","-5.5"
". 4 personnes","","-","","1 500","8.1","1 415","8.3","1 200","7.3","1 096","6.7","1 196","6.6","1 101","6.0","9.1","-7.9"
". 5 personnes et plus","","-","","952","5.1","765","4.5","565","3.4","444","2.7","597","3.3","510","2.8","34.5","-14.6"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","","",""
". sans enfant","","-","","-","","13 554","79.5","13 345","81.2","13 644","83.0","15 156","83.5","15 443","84.8","11.1","1.9"
". 1 enfant","","-","","-","","2 154","12.6","1 890","11.5","1 692","10.3","1 652","9.1","1 605","8.8","-2.4","-2.8"
". 2 enfants","","-","","-","","952","5.6","840","5.1","812","4.9","940","5.2","851","4.7","15.8","-9.5"
". 3 enfants ou plus","","-","","-","","392","2.3","350","2.1","284","1.7","398","2.2","316","1.7","40.1","-20.6"
