"Quartier 42","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"SAINT AMBROISE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","3 400","8.2","2 577","6.4","2 031","5.6","1 485","4.5","900","2.8","-39.4"
"Professions libérales et cadres supérieurs","1 141","2.7","1 311","3.3","1 208","3.3","1 760","5.4","2 240","7.0","27.3"
"Cadres moyens","2 391","5.8","2 709","6.7","2 653","7.3","2 720","8.3","3 120","9.8","14.7"
"Employés","5 229","12.6","5 183","12.8","4 850","13.4","5 020","15.3","4 200","13.2","-16.3"
"Ouvriers","8 936","21.5","8 207","20.3","6 443","17.8","4 805","14.6","3 900","12.3","-18.8"
"Personnel de service","2 626","6.3","2 449","6.1","2 153","6.0","1 850","5.6","1 540","4.8","-16.8"
"Autres actifs (2)","622","1.5","424","1.1","333","0.9","245","0.7","360","1.1","46.9"
"ACTIFS","24 345","58.5","22 860","56.7","19 671","54.4","17 885","54.5","16 260","51.1","-9.1"
"Enfants de moins de 15 ans","6 391","15.4","5 898","14.6","4 769","13.2","4 360","13.3","3 856","12.1","-11.6"
"Retraités","2 759","6.6","3 533","8.8","4 380","12.1","4 720","14.4","4 696","14.8","-0.5"
"Autres sans activité professionnelle","8 086","19.4","8 047","19.9","7 341","20.3","5 860","17.9","7 008","22.0","19.6"
"INACTIFS","17 236","41.5","17 478","43.3","16 490","45.6","14 940","45.5","15 560","48.9","4.1"
"TOTAL","41 581","100.0","40 338","100.0","36 161","100.0","32 825","100.0","31 820","100.0","-3.1"
