"11ème   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","89 911","100.0","88 123","100.0","82 960","100.0","79 425","100.0","76 308","100.0","81 930","100.0","82 579","100.0","7.4","0.8"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","",""
". 1 personne","29 761","33.1","31 598","35.9","31 483","37.9","35 095","44.2","37 280","48.9","42 909","52.4","45 967","55.7","15.1","7.1"
". 2 personnes","31 157","34.7","29 666","33.7","27 227","32.8","24 930","31.4","22 056","28.9","21 933","26.8","21 016","25.4","-0.6","-4.2"
". 3 personnes","16 374","18.2","14 875","16.9","13 347","16.1","10 820","13.6","9 308","12.2","8 714","10.6","7 822","9.5","-6.4","-10.2"
". 4 personnes","7 808","8.7","7 273","8.3","6 854","8.3","5 815","7.3","5 176","6.8","5 375","6.6","5 004","6.1","3.8","-6.9"
". 5 personnes et plus","4 811","5.4","4 711","5.3","4 049","4.9","2 765","3.5","2 488","3.3","2 999","3.7","2 770","3.4","20.5","-7.6"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","",""
". sans enfant","-","","-","","65 418","78.9","64 860","81.7","62 840","82.4","68 113","83.1","69 762","84.5","8.4","2.4"
". 1 enfant","-","","-","","10 705","12.9","8 620","10.9","7 984","10.5","7 647","9.3","7 150","8.7","-4.2","-6.5"
". 2 enfants","-","","-","","4 751","5.7","4 325","5.4","4 004","5.2","4 147","5.1","3 984","4.8","3.6","-3.9"
". 3 enfants ou plus","-","","-","","2 086","2.5","1 620","2.0","1 480","1.9","2 023","2.5","1 683","2.0","36.7","-16.8"
"POPULATION DES MÉNAGES","199 358","","191 305","","176 286","","156 300","","143 856","","151 430","","147 056","","5.3","-2.9"
"Taille moyenne des ménages","2.22","","2.17","","2.12","","1.97","","1.89","","1.85","","1.78","","-2.0","-3.7"
"( nombre de personnes )","","","","","","","","","","","","","","","",""
