"Quartier 44","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"SAINTE MARGUERITE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","3 663","8.0","2 882","6.3","2 472","5.7","1 675","4.1","1 260","3.5","-24.8"
"Professions libérales et cadres supérieurs","1 078","2.4","1 198","2.6","1 407","3.2","2 530","6.2","2 740","7.5","8.3"
"Cadres moyens","2 591","5.7","3 078","6.8","3 319","7.6","3 795","9.3","3 720","10.2","-2.0"
"Employés","5 929","13.0","6 341","14.0","5 942","13.7","5 780","14.2","4 480","12.3","-22.5"
"Ouvriers","10 436","22.8","9 264","20.4","8 270","19.0","6 215","15.2","5 020","13.8","-19.2"
"Personnel de service","2 452","5.4","2 415","5.3","2 313","5.3","1 900","4.7","1 960","5.4","3.2"
"Autres actifs (2)","494","1.1","454","1.0","366","0.8","420","1.0","500","1.4","19.0"
"ACTIFS","26 643","58.3","25 632","56.4","24 089","55.5","22 315","54.7","19 680","54.0","-11.8"
"Enfants de moins de 15 ans","7 095","15.5","6 796","15.0","5 913","13.6","5 420","13.3","4 564","12.5","-15.8"
"Retraités","3 023","6.6","3 851","8.5","4 706","10.8","6 105","15.0","5 956","16.4","-2.4"
"Autres sans activité professionnelle","8 914","19.5","9 146","20.1","8 727","20.1","6 950","17.0","6 220","17.1","-10.5"
"INACTIFS","19 032","41.7","19 793","43.6","19 346","44.5","18 475","45.3","16 740","46.0","-9.4"
"TOTAL","45 675","100.0","45 425","100.0","43 435","100.0","40 790","100.0","36 420","100.0","-10.7"
